Project Organization,Project Organization Name,GL Project Organization Number,Project Owning Department,Project Owning Division,Project Owning Unit,Project Owning Unit Code
SM.PA AP Troxell 65447,SM.PA AP Troxell,65447,Pathology,Anatomical Pathology,School of Medicine,SOM
SM.Diabetes Center 63940,SM.Diabetes Center,63940,Medicine,Endo/Diab/Clin Nutrition,School of Medicine,SOM
SM.Neu Other 64275,SM.Neu Other,64275,Neurology,,School of Medicine,SOM
SE.STC For Coastal Margin Observation and Prediction 56415,SE.STC For Coastal Margin Observation and Prediction,56415,Environmental & Biomolecular Systems,,Oregon Graduate Institute,OGI
SN.Baccalaureate Program EOU 58202,SN.Baccalaureate Program EOU,58202,La Grande Campus,,School of Nursing,SON
PC.Pathology Svs 43320,PC.Pathology Svs,43320,Oregon National Primate Research Center,Division of Comparative Medicine,Vice President for Research,VPR
PC.Constr ONPRC 43999,PC.Constr ONPRC,43999,Oregon National Primate Research Center,Administration (ONPRC),Vice President for Research,VPR
SM.Knight Regional Outreach 68125,SM.Knight Regional Outreach,68125,OHSU Knight Cancer Institute,,School of Medicine,SOM
SM.Knight GIST Trial Coordination 68102,SM.Knight GIST Trial Coordination,68102,OHSU Knight Cancer Institute,,School of Medicine,SOM
PC.Assist Repro Tech Svs 43451,PC.Assist Repro Tech Svs,43451,Oregon National Primate Research Center,Research Services,Vice President for Research,VPR
SM.Obstetrics/Gynecol 64509,SM.Obstetrics/Gynecol,64509,Obstetrics & Gynecology,,School of Medicine,SOM
SM.Pediatric Admin 65702,SM.Pediatric Admin,65702,Pediatrics,,School of Medicine,SOM
SM.IDD OSCSHN Office 42123,SM.IDD OSCSHN Office,42123,Institute on Development & Disability,,School of Medicine,SOM
SM.PA AP Woltjer 65431,SM.PA AP Woltjer,65431,Pathology,Anatomical Pathology,School of Medicine,SOM
SM.Knight Subsidy Distribution Hub 68198,SM.Knight Subsidy Distribution Hub,68198,OHSU Knight Cancer Institute,,School of Medicine,SOM
PC.Cardiometabolic Health Division 43780,PC.Cardiometabolic Health Division,43780,Oregon National Primate Research Center,Metabolic,Vice President for Research,VPR
SM.SURG Surgical Oncology 66912,SM.SURG Surgical Oncology,66912,Surgery,Surgical Oncology,School of Medicine,SOM
SM.Dean Education 67004,SM.Dean Education,67004,Administration (SOM),,School of Medicine,SOM
VI.Mandel 45537,VI.Mandel,45537,Vollum Institute,,Vice President for Research,VPR
HC.Graduate Medical Serv 36302,HC.Graduate Medical Serv,36302,Medicine (HOSP),,OHSU Hospital,HOSP
AA.Global Health 83601,AA.Global Health,83601,Academic Affairs,Global Health Center,Provost,PROV
BC.Cntr for Biostats & Compt in Biomed 48501,BC.Cntr for Biostats & Compt in Biomed,48501,"Center for Biostatistics, Computing and Informatics in Biology and Medicine",,Vice President for Research,VPR
SM.Neurosurgery Administration 64313,SM.Neurosurgery Administration,64313,Neurological Surgery,,School of Medicine,SOM
SM.Knight Path Res Trans Lab 68142,SM.Knight Path Res Trans Lab,68142,OHSU Knight Cancer Institute,,School of Medicine,SOM
SM.PATH AP Corless 65433,SM.PATH AP Corless,65433,Pathology,Anatomical Pathology,School of Medicine,SOM
HC.Emergency Dept 31601,HC.Emergency Dept,31601,Oregon Poison Control Center,,OHSU Hospital,HOSP
SD.Pediatric Dentistry - Admin 54231,SD.Pediatric Dentistry - Admin,54231,Administration (SOD),,School of Dentistry,SOD
SM.Div of Hospital Medicine (Section of Inpatient Med.) 63905,SM.Div of Hospital Medicine (Section of Inpatient Med.),63905,Medicine,Hospital Medicine,School of Medicine,SOM
SM.PA Lm Gnt 82 65482,SM.PA Lm Gnt 82,65482,Pathology,Laboratory Medicine,School of Medicine,SOM
VI.Whorton 45543,VI.Whorton,45543,Vollum Institute,,Vice President for Research,VPR
SM.Neurosurgery-Comprehensive 64329,SM.Neurosurgery-Comprehensive,64329,Neurological Surgery,,School of Medicine,SOM
SD.Periodontology - Admin 54241,SD.Periodontology - Admin,54241,Administration (SOD),,School of Dentistry,SOD
NS.PI Bebo 47219,NS.PI Bebo,47219,Neurological Sciences Institute,,Vice President for Research,VPR
SM.ORCATECH 67032,SM.ORCATECH,67032,ORCATECH,,School of Medicine,SOM
VI.Chen 45534,VI.Chen,45534,Vollum Institute,,Vice President for Research,VPR
RS.Mitalipov 85115,RS.Mitalipov,85115,Research Development and Administration,VP Research,Vice President for Research,VPR
SN.K Falls Campus 58302,SN.K Falls Campus,58302,Klamath Falls Campus,,School of Nursing,SON
SD.Orthodontics - Admin 54221,SD.Orthodontics - Admin,54221,Administration (SOD),,School of Dentistry,SOD
SM.Knight Thyroid Trial Coordination 68133,SM.Knight Thyroid Trial Coordination,68133,OHSU Knight Cancer Institute,,School of Medicine,SOM
SM.Anesthesiology 62101,SM.Anesthesiology,62101,Anesthesiology,,School of Medicine,SOM
SM.Pul Research 63987,SM.Pul Research,63987,Medicine,Pulmonary & Critical Care Medicine,School of Medicine,SOM
SM.Knight Cardiovascular Institute 68302,SM.Knight Cardiovascular Institute,68302,OHSU Knight Cardiovascular Institute,,School of Medicine,SOM
VI.Grandy 45509,VI.Grandy,45509,Vollum Institute,,Vice President for Research,VPR
HC.Hospital Administration 38902,HC.Hospital Administration,38902,Hospital Administration,,OHSU Hospital,HOSP
PT.Proteomics Shared Resource 48301,PT.Proteomics Shared Resource,48301,Proteomics,,Vice President for Research,VPR
SM.Pediatric Adolescent Medicine 65703,SM.Pediatric Adolescent Medicine,65703,Pediatrics,Developmental Pediatrics,School of Medicine,SOM
SM.Pediatrics Division 65150,SM.Pediatrics Division,65150,Otolaryngology & Head/Neck Surgery,,School of Medicine,SOM
RS.Research Special Initiatives 85120,RS.Research Special Initiatives,85120,Research Development and Administration,VP Research,Vice President for Research,VPR
SM.Dean Admissions 67003,SM.Dean Admissions,67003,Administration (SOM),,School of Medicine,SOM
CD.Grants 42419,CD.Grants,42419,Institute on Development & Disability,,School of Medicine,SOM
SM.IFD Clinical Trials 63969,SM.IFD Clinical Trials,63969,Medicine,Infectious Diseases,School of Medicine,SOM
SN.Nursing Research Instruction 58102,SN.Nursing Research Instruction,58102,Administration (SON),,School of Nursing,SON
PC.Virology Svs 43330,PC.Virology Svs,43330,Oregon National Primate Research Center,Division of Comparative Medicine,Vice President for Research,VPR
SM.Pediatric Pulmonary 65716,SM.Pediatric Pulmonary,65716,Pediatrics,Pediatric Pulmonary Care,School of Medicine,SOM
SM.Pediatric Hemonc 65709,SM.Pediatric Hemonc,65709,Pediatrics,Pediatric Hematology/Oncology,School of Medicine,SOM
PC.Mol and Cell Bio Svs 43453,PC.Mol and Cell Bio Svs,43453,Oregon National Primate Research Center,Research Services,Vice President for Research,VPR
SM.Neu Stroke 64280,SM.Neu Stroke,64280,Neurology,Stroke,School of Medicine,SOM
SM.Cancer Section 65734,SM.Cancer Section,65734,Pediatrics,,School of Medicine,SOM
SM.END Administration 63934,SM.END Administration,63934,Medicine,Endo/Diab/Clin Nutrition,School of Medicine,SOM
SM.Pediatric GenPeds 65708,SM.Pediatric GenPeds,65708,Pediatrics,General Pediatrics,School of Medicine,SOM
SM.ARD Administration 63918,SM.ARD Administration,63918,Medicine,Arthritis & Rheumatic Diseases,School of Medicine,SOM
SM.MMBI Admin 61501,SM.MMBI Admin,61501,Molecular Micro/Immunology,,School of Medicine,SOM
SM.CAR Invasive 63931,SM.CAR Invasive,63931,OHSU Knight Cardiovascular Institute,,School of Medicine,SOM
Computer Science & Electrical Engineering 56225,Computer Science & Electrical Engineering,56225,Computer Science & Electrical Engineering,Antropic Signal Processing Group,Oregon Graduate Institute,OGI
HC.Poison Control Center 37101,HC.Poison Control Center,37101,Oregon Poison Control Center,,OHSU Hospital,HOSP
"SM.Endocrinology, Section of Diabetes 63937","SM.Endocrinology, Section of Diabetes",63937,Medicine,Endo/Diab/Clin Nutrition,School of Medicine,SOM
SM.Neu Epilepsy 64230,SM.Neu Epilepsy,64230,Neurology,Epilepsy,School of Medicine,SOM
PH.Institute of Environmental Health 59119,PH.Institute of Environmental Health,59119,Public Health and Preventive Medicine,,School of Public Health,SPH
SM.CTRI Cost Sharing 67015,SM.CTRI Cost Sharing,67015,Administration (SOM),,School of Medicine,SOM
SM.Psyc Sleep Lab 66006,SM.Psyc Sleep Lab,66006,Psychiatry,,School of Medicine,SOM
VI.Wright 45542,VI.Wright,45542,Vollum Institute,,Vice President for Research,VPR
SM.Intercultural Psychiatry Program (IPP) 66009,SM.Intercultural Psychiatry Program (IPP),66009,Psychiatry,,School of Medicine,SOM
SD.Restorative Dentistry - Admin 54135,SD.Restorative Dentistry - Admin,54135,Administration (SOD),,School of Dentistry,SOD
SM.Knight Breast Trial Coordination 68108,SM.Knight Breast Trial Coordination,68108,OHSU Knight Cancer Institute,,School of Medicine,SOM
SM.Pediatric Critical Care 65705,SM.Pediatric Critical Care,65705,Pediatrics,Pediatric Critical Care,School of Medicine,SOM
SM.Knight Biostatistics 68114,SM.Knight Biostatistics,68114,OHSU Knight Cancer Institute,,School of Medicine,SOM
SM.IEH 67037,SM.IEH,67037,Administration (SOM),,School of Medicine,SOM
NS.PI Bell 47204,NS.PI Bell,47204,Neurological Sciences Institute,,Vice President for Research,VPR
SM.BME-Ibsen 69435,SM.BME-Ibsen,69435,Biomedical Engineering Dept,,School of Medicine,SOM
SM.Emerg OCHSER 63305,SM.Emerg OCHSER,63305,Emergency Medicine,,School of Medicine,SOM
SM.Knight Informatics 68121,SM.Knight Informatics,68121,OHSU Knight Cancer Institute,,School of Medicine,SOM
SM.MMG KCVI Adey 61209,SM.MMG KCVI Adey,61209,Molecular & Medical Genetics,,School of Medicine,SOM
SM.Neu Critical Care 64285,SM.Neu Critical Care,64285,Neurology,Critical Care,School of Medicine,SOM
PC.Imaging and Morph Svs Neuro 43652,PC.Imaging and Morph Svs Neuro,43652,Oregon National Primate Research Center,Neuroscience,Vice President for Research,VPR
SM.SURG Abdominal Organ Trans 66915,SM.SURG Abdominal Organ Trans,66915,Surgery,Abdominal Organ Transplant,School of Medicine,SOM
SM.Knight ISR Research 68197,SM.Knight ISR Research,68197,OHSU Knight Cancer Institute,,School of Medicine,SOM
SM.BME-Zuckerman 69438,SM.BME-Zuckerman,69438,Biomedical Engineering Dept,,School of Medicine,SOM
NS.PI Cordo 47207,NS.PI Cordo,47207,Neurological Sciences Institute,,Vice President for Research,VPR
AH.Allied Health Pgms 52101,AH.Allied Health Pgms,52101,Health Professions,,Provost,PROV
RS.Research Collaborations Operating Acc 85106,RS.Research Collaborations Operating Acc,85106,Research Development and Administration,Technology Transfer & Business Development,Vice President for Research,VPR
SM.Knight CEDR Home Org 68180,SM.Knight CEDR Home Org,68180,OHSU Knight Cancer Institute,CEDAR,School of Medicine,SOM
VI.Other Core Services 45409,VI.Other Core Services,45409,Vollum Institute,,Vice President for Research,VPR
SN.Ashland Campus 58502,SN.Ashland Campus,58502,Ashland Campus,,School of Nursing,SON
SM.CDB Discovery Engine-Tyner 60904,SM.CDB Discovery Engine-Tyner,60904,"Cell, Developmental & Cancer Biology",,School of Medicine,SOM
SM.Brenden-Colson Ctr for Pancreatic Care 67022,SM.Brenden-Colson Ctr for Pancreatic Care,67022,Brenden-Colson Center for Pancreatic Care,,School of Medicine,SOM
SM.OPHTH Genetics 64812,SM.OPHTH Genetics,64812,Ophthalmology,,School of Medicine,SOM
SD.Oral And Maxillofacialsurgery - Admin 54211,SD.Oral And Maxillofacialsurgery - Admin,54211,Administration (SOD),,School of Dentistry,SOD
SM.PBLC Hlth CMMI Grant 66308,SM.PBLC Hlth CMMI Grant,66308,Public Health & Preventive Medicine,,School of Medicine,SOM
VI.Thayer 45524,VI.Thayer,45524,Vollum Institute,,Vice President for Research,VPR
HR.Career and Workplace Enhancement Ctr 87645,HR.Career and Workplace Enhancement Ctr,87645,Human Resources,,Administration,ADMIN
AH.Physician Assistant Program 52606,AH.Physician Assistant Program,52606,Health Professions,,Provost,PROV
NS.PI Peterka 47214,NS.PI Peterka,47214,Neurological Sciences Institute,,Vice President for Research,VPR
VI.Director's Office 45103,VI.Director's Office,45103,Vollum Institute,,Vice President for Research,VPR
NS.PI Rossi 47228,NS.PI Rossi,47228,Neurological Sciences Institute,,Vice President for Research,VPR
NS.PI Brown 47205,NS.PI Brown,47205,Neurological Sciences Institute,,Vice President for Research,VPR
PC.ONPRC Administration 43501,PC.ONPRC Administration,43501,Oregon National Primate Research Center,Administration (ONPRC),Vice President for Research,VPR
SM.OB/GYN Endocrine Division 64501,SM.OB/GYN Endocrine Division,64501,Obstetrics & Gynecology,,School of Medicine,SOM
NS.PI Coghlan 47206,NS.PI Coghlan,47206,Neurological Sciences Institute,,Vice President for Research,VPR
HC.Doernbecher Administration 38922,HC.Doernbecher Administration,38922,Doernbecher,,OHSU Hospital,HOSP
SM.KCVI Aortic Center 68348,SM.KCVI Aortic Center,68348,OHSU Knight Cardiovascular Institute,,School of Medicine,SOM
SM.Hsm Research 63995,SM.Hsm Research,63995,Medicine,Health Prom & Sports Medicine,School of Medicine,SOM
HC.Computed Tomographic Scanner 32202,HC.Computed Tomographic Scanner,32202,Diagnostic Radiology (HOSP),,OHSU Hospital,HOSP
"SM.Endocrinology, Section of Clinical Nutrition 63936","SM.Endocrinology, Section of Clinical Nutrition",63936,Medicine,Endo/Diab/Clin Nutrition,School of Medicine,SOM
SM.NEP Administration 63974,SM.NEP Administration,63974,Medicine,Nephrology & Hypertension,School of Medicine,SOM
VG.VGTI-Vaccine and Gene Therapy Institute 46001,VG.VGTI-Vaccine and Gene Therapy Institute,46001,Vaccine and Gene Therapy Institute,,Vice President for Research,VPR
SM.Center for Evidence-Based Policy 66392,SM.Center for Evidence-Based Policy,66392,Center for Evidence Based Policy,,School of Medicine,SOM
SM.Biochem & Mole Biology 60301,SM.Biochem & Mole Biology,60301,Biochemistry/Molecular Biology,,School of Medicine,SOM
PC.Neuro Projects 43132,PC.Neuro Projects,43132,Oregon National Primate Research Center,Neuroscience,Vice President for Research,VPR
PC.Animal Admin 43201,PC.Animal Admin,43201,Oregon National Primate Research Center,Division of Comparative Medicine,Vice President for Research,VPR
VI.Graduate Students 45304,VI.Graduate Students,45304,Vollum Institute,,Vice President for Research,VPR
CT.OCTRI-OR Clin Trans Res Ins 44001,CT.OCTRI-OR Clin Trans Res Ins,44001,Oregon Clinical and Translational Research Institute,,Vice President for Research,VPR
VI.Goodman 45508,VI.Goodman,45508,Vollum Institute,,Vice President for Research,VPR
BI.Library Main Operations 23331,BI.Library Main Operations,23331,Library,,Provost,PROV
PC.Primate Psy Well Being 43230,PC.Primate Psy Well Being,43230,Oregon National Primate Research Center,Division of Comparative Medicine,Vice President for Research,VPR
SM.Neu Neuromuscle 64260,SM.Neu Neuromuscle,64260,Neurology,Neuromuscle,School of Medicine,SOM
PC.Primate Genetics 43458,PC.Primate Genetics,43458,Oregon National Primate Research Center,Research Services,Vice President for Research,VPR
SM.Knight Early Detection Research 68119,SM.Knight Early Detection Research,68119,OHSU Knight Cancer Institute,,School of Medicine,SOM
SE.Electrical & Computer Engineering Main 56210,SE.Electrical & Computer Engineering Main,56210,Computer Science & Electrical Engineering,,Oregon Graduate Institute,OGI
VI.Scott 45517,VI.Scott,45517,Vollum Institute,,Vice President for Research,VPR
SM.PA LM Disc Fan 65469,SM.PA LM Disc Fan,65469,Pathology,Laboratory Medicine,School of Medicine,SOM
SE.ECE Center For Spoken Language Understanding 56220,SE.ECE Center For Spoken Language Understanding,56220,Computer Science & Electrical Engineering,Center for Spoken Language Understanding,Oregon Graduate Institute,OGI
HC.Quality Management 37901,HC.Quality Management,37901,Quality Management,,OHSU Hospital,HOSP
SE.Biochemistry And Molecular Biology 56410,SE.Biochemistry And Molecular Biology,56410,Biochemistry & Molecular Biology,,Oregon Graduate Institute,OGI
PC.Alt and Ren ONPRC 43998,PC.Alt and Ren ONPRC,43998,Oregon National Primate Research Center,Administration (ONPRC),Vice President for Research,VPR
FO.FM Utilities Maintenance 89206,FO.FM Utilities Maintenance,89206,Facilities,,Administration,ADMIN
SM.Psyc Childrens Day Treatment Center 66007,SM.Psyc Childrens Day Treatment Center,66007,Psychiatry,,School of Medicine,SOM
VI.Jahr 45511,VI.Jahr,45511,Vollum Institute,,Vice President for Research,VPR
SM.CAR Arrhythmia/EP 63928,SM.CAR Arrhythmia/EP,63928,OHSU Knight Cardiovascular Institute,,School of Medicine,SOM
SM.Radiation Research 66603,SM.Radiation Research,66603,Radiation Oncology,Radiation Oncology,School of Medicine,SOM
SM.IFD Administration 63966,SM.IFD Administration,63966,Medicine,Infectious Diseases,School of Medicine,SOM
RG.Regenerative Medicine 48151,RG.Regenerative Medicine,48151,Oregon Center for Regenerative Medicine,,Vice President for Research,VPR
SM.Knight Melanoma Trial Coordination 68132,SM.Knight Melanoma Trial Coordination,68132,OHSU Knight Cancer Institute,,School of Medicine,SOM
SM.CAR Heart Failure/Transplant 63930,SM.CAR Heart Failure/Transplant,63930,OHSU Knight Cardiovascular Institute,,School of Medicine,SOM
SM.PA AP Farrell Disc 65441,SM.PA AP Farrell Disc,65441,Pathology,Anatomical Pathology,School of Medicine,SOM
SM.Knight SMMART Trials 68134,SM.Knight SMMART Trials,68134,OHSU Knight Cancer Institute,,School of Medicine,SOM
AH.Spencer IDC 52710,AH.Spencer IDC,52710,Health Professions,,Provost,PROV
AH.Dietetics & Nutrition 52201,AH.Dietetics & Nutrition,52201,Health Professions,,Provost,PROV
SM.Peds OPIP 65719,SM.Peds OPIP,65719,Pediatrics,,School of Medicine,SOM
HC.Trauma Program Admin 37908,HC.Trauma Program Admin,37908,Neurology (HOSP),,OHSU Hospital,HOSP
VI.Zhong 45539,VI.Zhong,45539,Vollum Institute,,Vice President for Research,VPR
SM.Infectious Disease CRC 63967,SM.Infectious Disease CRC,63967,Medicine,Infectious Diseases,School of Medicine,SOM
PC.Serology Svs 43321,PC.Serology Svs,43321,Oregon National Primate Research Center,Research Services,Vice President for Research,VPR
NS.PI Barmack 47203,NS.PI Barmack,47203,Neurological Sciences Institute,,Vice President for Research,VPR
SE.CSE Adaptive Systems 56150,SE.CSE Adaptive Systems,56150,Computer Science & Electrical Engineering,Adaptive Systems,Oregon Graduate Institute,OGI
BI.AV Administration 23233,BI.AV Administration,23233,Library,,Provost,PROV
NS.PI Mello 47223,NS.PI Mello,47223,Neurological Sciences Institute,,Vice President for Research,VPR
HC.Infection Control 37126,HC.Infection Control,37126,Infection Control,,OHSU Hospital,HOSP
SM.Facial Plastics & Reconstructive Surgery Division 65130,SM.Facial Plastics & Reconstructive Surgery Division,65130,Otolaryngology & Head/Neck Surgery,,School of Medicine,SOM
PC.Equip ONPRC 43997,PC.Equip ONPRC,43997,Oregon National Primate Research Center,Administration (ONPRC),Vice President for Research,VPR
SS.Institutional Financial Aid 84110,SS.Institutional Financial Aid,84110,Student Services,,Provost,PROV
SM.Path LM Disc/Boshkov 65434,SM.Path LM Disc/Boshkov,65434,Pathology,Anatomical Pathology,School of Medicine,SOM
NS.PI Larsson 47225,NS.PI Larsson,47225,Neurological Sciences Institute,,Vice President for Research,VPR
SM.PA LM Press 65455,SM.PA LM Press,65455,Pathology,Laboratory Medicine,School of Medicine,SOM
CT.OCTRI IDC Return 44002,CT.OCTRI IDC Return,44002,Oregon Clinical and Translational Research Institute,,Vice President for Research,VPR
SM.PA Lm Gnt 83 65483,SM.PA Lm Gnt 83,65483,Pathology,Laboratory Medicine,School of Medicine,SOM
NS.PI Morgans 47230,NS.PI Morgans,47230,Neurological Sciences Institute,,Vice President for Research,VPR
SN.Dean's Reserve 58630,SN.Dean's Reserve,58630,Administration (SON),,School of Nursing,SON
PC.General Directors Office 43802,PC.General Directors Office,43802,Oregon National Primate Research Center,,Vice President for Research,VPR
SM.Biochemistry Sundry 60302,SM.Biochemistry Sundry,60302,Biochemistry/Molecular Biology,,School of Medicine,SOM
RS.Animal Care Administration 85102,RS.Animal Care Administration,85102,Research Development and Administration,Comparative Medicine,Vice President for Research,VPR
PC.Monoclonal Svs 43460,PC.Monoclonal Svs,43460,Oregon National Primate Research Center,Research Services,Vice President for Research,VPR
RS.Office of Proposal & Award Management 85002,RS.Office of Proposal & Award Management,85002,Research Development and Administration,Office of Proposal & Award Management,Vice President for Research,VPR
SM.Ophth Division of Research 64819,SM.Ophth Division of Research,64819,Ophthalmology,,School of Medicine,SOM
SM.GST Research 63947,SM.GST Research,63947,Medicine,Gastroenterology & Hepatology,School of Medicine,SOM
SE.Biomedical Engineering 56710,SE.Biomedical Engineering,56710,Biomedical Engineering,,Oregon Graduate Institute,OGI
WR.Administration 48401,WR.Administration,48401,Center for the Study of Weight Regulation,,Vice President for Research,VPR
SM.GST Administration 63942,SM.GST Administration,63942,Medicine,Gastroenterology & Hepatology,School of Medicine,SOM
SM.Neu Aging And Alzheimers 64220,SM.Neu Aging And Alzheimers,64220,Neurology,Aging and Alzheimers,School of Medicine,SOM
SM.Psyc Admin 66001,SM.Psyc Admin,66001,Psychiatry,,School of Medicine,SOM
VI.Postdoc/Clin Fellows 45305,VI.Postdoc/Clin Fellows,45305,Vollum Institute,,Vice President for Research,VPR
PC.General Admin 43109,PC.General Admin,43109,Oregon National Primate Research Center,Administration (ONPRC),Vice President for Research,VPR
EH.CNTR for Coastal Margin OBS & PRED 48811,EH.CNTR for Coastal Margin OBS & PRED,48811,Institute of Environmental Health,Center for Coastal Margin Obs & Pred,Provost,PROV
SM.MM Administration 64002,SM.MM Administration,64002,Medicine,Molecular Medicine,School of Medicine,SOM
VI.Forte 45507,VI.Forte,45507,Vollum Institute,,Vice President for Research,VPR
SM.Neu Movement Disorders 64240,SM.Neu Movement Disorders,64240,Neurology,Movement Disorders,School of Medicine,SOM
SM.BBBD Program 64290,SM.BBBD Program,64290,Neurology,BBBD Program,School of Medicine,SOM
SM.OB/GYN Oncology Division 64503,SM.OB/GYN Oncology Division,64503,Obstetrics & Gynecology,,School of Medicine,SOM
SM.Knight Prostate Program 68118,SM.Knight Prostate Program,68118,OHSU Knight Cancer Institute,,School of Medicine,SOM
SM.Tinnitus 65195,SM.Tinnitus,65195,Otolaryngology & Head/Neck Surgery,OHRC Tinnitus Program,School of Medicine,SOM
SM.Knight SWOG 68170,SM.Knight SWOG,68170,OHSU Knight Cancer Institute,,School of Medicine,SOM
EH.Environmental & Biomolecular Systems 48821,EH.Environmental & Biomolecular Systems,48821,Institute of Environmental Health,Environmental & Biomolecular Systems,Provost,PROV
SM.Center for Developmental Health 61832,SM.Center for Developmental Health,61832,Center for Developmental Health,,School of Medicine,SOM
NS.PI Macpherson 47211,NS.PI Macpherson,47211,Neurological Sciences Institute,,Vice President for Research,VPR
SM.KCVI Clinical Trials 68333,SM.KCVI Clinical Trials,68333,OHSU Knight Cardiovascular Institute,,School of Medicine,SOM
SM.Otology/Neurology/Skull Base Division 65110,SM.Otology/Neurology/Skull Base Division,65110,Otolaryngology & Head/Neck Surgery,,School of Medicine,SOM
SM.Peds Neuroscience Section 65733,SM.Peds Neuroscience Section,65733,Pediatrics,,School of Medicine,SOM
SM.Gray-Lab 69441,SM.Gray-Lab,69441,OCSSB,,School of Medicine,SOM
SM.HEM Administration 63958,SM.HEM Administration,63958,Medicine,Hematology & Medical Oncology,School of Medicine,SOM
SM.Knight CHM Clin Trials 68107,SM.Knight CHM Clin Trials,68107,OHSU Knight Cancer Institute,,School of Medicine,SOM
SN.Admin Foundation 58698,SN.Admin Foundation,58698,Administration (SON),,School of Nursing,SON
SM.Otolaryngology 65101,SM.Otolaryngology,65101,Otolaryngology & Head/Neck Surgery,,School of Medicine,SOM
SM.ARD Clinical Trials 63921,SM.ARD Clinical Trials,63921,Medicine,Arthritis & Rheumatic Diseases,School of Medicine,SOM
SM.Bone Marrow Transplant Program 63964,SM.Bone Marrow Transplant Program,63964,Medicine,Hematology & Medical Oncology,School of Medicine,SOM
SE.CSE Systems Software Lab 56130,SE.CSE Systems Software Lab,56130,Computer Science & Electrical Engineering,Systems Software Lab,Oregon Graduate Institute,OGI
SM.CORI GST Research 63945,SM.CORI GST Research,63945,Medicine,Gastroenterology & Hepatology,School of Medicine,SOM
NS.PI Welsh 47222,NS.PI Welsh,47222,Neurological Sciences Institute,,Vice President for Research,VPR
SM.PA.AP Disc Cascio 65474,SM.PA.AP Disc Cascio,65474,Pathology,Anatomical Pathology,School of Medicine,SOM
PC.MRI 43462,PC.MRI,43462,Oregon National Primate Research Center,Research Services,Vice President for Research,VPR
SM.IDD Academic Administration 42318,SM.IDD Academic Administration,42318,Institute on Development & Disability,,School of Medicine,SOM
PC.CRU 43150,PC.CRU,43150,Oregon National Primate Research Center,Collaborative Research Unit,Vice President for Research,VPR
PC.IT ONPRC 43117,PC.IT ONPRC,43117,Oregon National Primate Research Center,Administration (ONPRC),Vice President for Research,VPR
SM.Knight GI Trial Coordination 68109,SM.Knight GI Trial Coordination,68109,OHSU Knight Cancer Institute,,School of Medicine,SOM
AA.Career Development and Mentoring 83402,AA.Career Development and Mentoring,83402,Academic Affairs,,Provost,PROV
SD.Dent Dean Office - Admin 54501,SD.Dent Dean Office - Admin,54501,Administration (SOD),,School of Dentistry,SOD
SM.Endocrinology Research 63939,SM.Endocrinology Research,63939,Medicine,Endo/Diab/Clin Nutrition,School of Medicine,SOM
PC.Assist Repro Tech Svs Repro 43551,PC.Assist Repro Tech Svs Repro,43551,Oregon National Primate Research Center,Reproductive Sciences,Vice President for Research,VPR
