eCRIS Contract Nbr,Funding Source Id,Funding Source Name,Funding Source Type,Funding Source Nbr
,ID0000001036,"Department of Neurological Surgery, OHSU",OHSU,
,ID0000001622,Southwest Oncology Group,NIH,
,ID00000915,Amylin,Industry,H8O-US-B004 
,ID00001652,non-funded,Other,
,ID00001664,unfunded,Other,
,ID0000000914,Unfunded,,
,ID00000477,unfunded,Other,
,ID0000002536,Unfunded,Other,
,ID0000001805,NIH,NIH,R01AG18843
,ID0000000041,Paralyzed Veterans of America,Foundation,2350-01
,ID00000155,Michael J. Fox Foundation,Foundation,
,ID0000001541,Centers for Disease Control and Prevention,Other Federal,
,00000109,NIH,NIH,
,ID00001839,AOI Pharma - IRQ & Waiver of Oversight fees waived,Industry,
,ID00000835,"Anesiva, Inc",Industry,Protocol number 114-01P
,ID0000001479,"Aventis Pharmaceuticals, Inc.",Industry,
,ID00000880,GlaxoSmithKline,Industry,
,ID0000000833,Southwest Oncology Group (SWOG),NIH,
,ID0000000249,Unfunded,,
,ID0000003005,unfunded,,
,ID00003027,Unfunded,Other,
,ID0000002403,None,,
,ID00004649,unfunded,Other,
,ID00001086,Unfunded,Other,
,ID0000002151,Internally funded,,
,ID00000740,HRSA/AHRQ HIV/AIDS Bureau,Other Federal,
,ID00001136,OHSU OCTRI/GCRC,Other,
,ID0000002062,Southwest Oncology Group,NIH,
,ID0000005079,OHSU/Patient,OHSU,
,ID00002131,Unfunded,Other,
,ID00000213,Unfunded,OHSU,
,ID0000001105,PSOC,,
,ID0000002989,unfunded,Other,
,ID0000005147,Unfunded,Other,
,ID0000005150,Unfunded,Other,
,ID0000000372,GOG,Other Federal,
,ID00000621,Medical College of Georgia,NIH,
,ID00000535,Unfunded,Other,
,ID0000001113,Unfunded,,
,ID00002404,Duke/Department of Defense,Other Federal,
,ID00004134,None,Other,
,ID0000001462,Unfunded/internal funding,,
,ID00000987,Southwest Oncology Group (SWOG),NIH,
,ID00003834,Unfunded,Other,
,ID00001829,unfunded,Other,
,ID0000001425,Merck & Co.,Industry,
,ID0000001781,Agency for Healthcare Research and Quality (AHRQ),Other Federal,1- UC1 HS-14928-01
,ID0000003507,NIH,NIH,
,ID00003691,Unfunded,Other,
,ID0000001896,Unfunded,,
,ID0000003526,OHSU,OHSU,
,ID00000711,unfunded,Other,
,ID00005174,While we are a funded BIRCWH program this work does not need funding,NIH,2-K12-HD043488-08 
,ID00002173,unfunded,Other,
,ID00004920,VGTI FL,Other,
,ID0000004083,LG LIfe Sciences,Industry,BPLG-005-RO
,ID00001368,Unfunded,Other,
,ID00003289,STTR Grant,NIH,1R41DA029980 - 01
,ID00003563,Unfunded,Other,
,ID00001375,Unfunded,Other,
,ID00003241,unfunded,Other,
,ID00000881,CardioMems Inc,Industry,Protocol Number CM-06-02b
,ID0000004323,"OHSU Foundation, Orthodontic Support",OHSU,None defined
,ID0000002550,funding ended,,
,ID00000753,Agency for Healthcare Research and Quality,Other Federal,HHSA29020050013C
,ID00003916,Unfunded,Other,
,ID00002994,Unfunded,Other,
,ID0000003986,Roche Laboratories,Industry,
,ID00004965,VGTI FL,Other,
,00000083,NCI/COG,Other Federal,
,ID0000003155,Unfunded,,
,ID0000001242,NCI/COG,Other Federal,
,ID00005194,MD ANDERSON GU SPORE,NIH,
,ID0000003721,International Services Assistance Fund,Other,
,ID00000824,Robert Wood Johnson Foundation,Foundation,
,ID00001411,American Heart Association,Other,
,ID0000001146,Unfunded,,
,ID0000000323,Bayer Healthcare,Industry,Protocol #100554
,ID00004713,VGTI FL,Other,
,ID0000001995,National Institute for Occupational Safety and Health (NIOSH),Other Federal,R01 OH04230
,ID00001748,Genentech IRQ fee waived bill remaining services ,Industry,
,ID00001361,"ZymoGenetics, Inc",Industry,499G02
,ID00004530,Unfunded - masters thesis,Other,
,ID00000701,SEPRACOR INC.,Industry,Protocol 190-201
,ID00004885,Unfunded,Other,
,ID0000001838,NIH grant via University of Washington,NIH,
,ID00003126,"SCHWARZ BIOSCIENCES, INC",Industry,SP847
,ID0000004290,Unfunded,Other,
,ID0000000576,Centers for Disease Control & Prevention,Other Federal,Unfunded
,ID0000002901,"School of Medicine, Student Senate",OHSU,
,ID00004160,unfunded,Other,
,ID0000001236,unfunded,,
,ID00002220,Unfunded,Other,
,ID0000000142,"Tercica, Inc.",Industry,Protocol MS308
,ID00004172,unfunded,Other,
,ID0000002268,National Institute on Deafness and Other Comnmunication Disorders,NIH,R21 DC008077
,ID0000000580,Novartis Pharmaceuticals,Industry,
,ID0000003032,"Electro-Optical Sciences, Inc. (EOS)",Industry,20061
,ID00004185,"NHLBI, NIH, pass thru Thalassemia Clinical Research Network",NIH,5U01HL065238
,ID00005027,GSK (study drug only),Industry,
,ID00000938,Medtronic one time fee,Industry,
,ID00004278,UNFUNDED,Other,
,ID0000000492,GOG,Other Federal,
,ID00002076,Osmetech,Industry,
,00000446,Dermatology Foundation,Foundation,
,ID0000000781,Amylin Pharmaceuticals,Industry,
,ID0000002952,unfunded,,
,ID0000003939,National Organization for Rare Disorders (NORD),Other,
,ID00004237,unfunded,Other,
,ID00005442,Robert Wood Johnson Foundation,Foundation,Pending
,ID0000000237,GlaxoSmithKline,Industry,
,ID0000003069,The Institute on Aging at the University of Wisconsin,Other,
,ID00001348,unfunded,OHSU,
,ID0000002881,"Acute Innovations, LLC ",Industry,
,ID0000000335,NIH NCI Grant,NIH,NS33618
,ID0000001460,Pfizer Pharmaceuticals Company/ CRQ2010 fee waived per CS,Industry,Exempt
,ID00000675,University of Washington,Other,
,ID0000004072,OHSU School of Medicine,OHSU,
,ID00002760,Unfunded,Other,
,ID00000552,Federal funding,NIH,5U01DK57132
,ID00001235,HRSA MCH Research Program,Other Federal,
,ID00002165,National Cancer Institute,NIH,
,ID0000001518,AAFP Foundation,Other,
,ID00003191," University of Florida, the National Institutes of Health (NIMAS and NINDS).  ",NIH,
,ID0000000518,NIH,NIH,AI47239
,ID00001286,Unfunded,Other,
,ID0000001855,National Cancer Institute,NIH,2R25CA083646-05
,ID0000000040,National Institutes of Health,NIH,AR31017
,ID0000002228,unfunded,,
,ID0000000934,Unfunded,Other,
,ID0000001008,unfunded,,
,ID0000000632,CTSU of the NCI,Other,
,ID0000001789,unfunded,,
,ID0000001156,AHRQ,Other Federal,K08 HS 11338-05
,ID00000026,none,Other,
,ID0000000058,Cancer Trials Support Unit,Other Federal,
,ID0000001292,Center for Disease Control and Prevention,Other Federal,CDC R49 CE000232-0101A1
,ID0000004112,Unfunded,Foundation,Unfunded
,ID00000492,Northstar Neuroscience,Industry,
,ID0000001728,NIA/NIH  ,NIH,1-R21-AG023805-01
,ID0000003930,Leukemia and Lymphoma Society                                                                                                  				T. J. Martell Foundation ,Foundation,
,ID0000000474,GOG,Other Federal,
,ID00003591,unfunded,Other,
,ID0000000777,NIDA,NIH,
,ID00000380,Unfunded,OHSU,
,ID00002586,Unfunded,Other,
,ID0000000432,Unfunded,,
,ID00001338,Unfunded,OHSU,
,ID00000547,sub-contract,Other,R01 CA102695
,ID0000000163,National Center on Complementary and Alternative Medicine,NIH,
,ID0000002636,HRSA,Other Federal,
,ID0000005183,OHSU Foundation,Foundation,
,ID0000005065,Boston Scientific,Industry,
,ID0000001354,Oregon Practice Improvement Collaborative,Other,
,00000349,N.L. Tartar Research Award,OHSU,
,ID00005166,RTOG,NIH,
,ID00004701,NIDCD,NIH,1K25DC011308-01A1 	
,ID0000002874,unfunded,,
,ID0000001945,Unfunded,OHSU,
,ID0000001861,Unfunded,,
,00000236,Unfunded,Other,
,ID0000000406,SAMHSA,NIH,
,ID0000001211,AnorMED Inc.,Industry,AMD3100-3102
,ID0000002171,Unfunded,,
,ID0000001754,National Institute of Environmental Health Sciences,Other Federal,CDC Protocol #4388
,ID00003537,NCRR,NIH,1U24RR029825-01
,ID00000683,non funded,Other,
,ID0000004122,Unfunded,Other,
,ID00002677,National Cancer Institute,NIH,
,ID0000003882,ALZA,Industry,C-2006-004
,ID0000002263,None,,
,ID00002020,OHSU Student Senate,OHSU,
,ID00002237,Unfunded,Other,
,ID0000004220,Sanofi-aventis,Industry,DFI6174
,ID00000346,Yecuris Inc.,Industry,
,ID00002484,Unfunded,Other,
,ID0000000359,none,Other,
,ID00004032,Nabi Pharmaceuticals,Industry,4522
,ID0000005489,Pfizer,Industry,
,00000598,Ended 09012007,Other,
,ID00004503,Unfunded,Other,
,ID0000002783,Grant,NIH,K23-CA100394
,ID00001870,Unfunded,Other,Unfunded
,ID00003251,Unfunded currently,Foundation,
,ID00005461,University of Chicago,Other,
,ID00001311,Sandhill Scientific,OHSU,
,ID0000003261,unfunded,Other,
,ID00004296,Grant,NIH,
,ID0000004180,NCCAM/NIH  awarded to UCLA,Other,
,ID0000002341,Unfunded,,
,ID0000001206,"BioMarin Pharmaceutical, Inc",Industry,PKU-003
,ID0000001643,Unfunded,,
,ID00000724,Unfunded,Other,
,ID0000003889,internally funded,OHSU,
,ID00004011,Unfunded,Other,
,ID00002086,Karl Storz America / FEEs Waived per CS,Industry,
,ID0000003397,HRSA,,
,ID00004726,Unfunded,OHSU,
,ID00000424,Unfunded,Other,
,ID0000000489,Ross Products Division,Industry,
,ID0000000351,Unfunded,Other,
,ID0000002915,Unfunded,,
,ID0000002756,Cancer Trials Support Unit (CTSU),NIH,
,ID0000000032,Alzheimer's Disease Cooperative Study,,
,ID0000002534,Unfunded,,
,ID0000003317,"Genentech, Inc.",Industry,
,ID00004498,"Lexicon Pharmaceuticals, Inc",Industry,
,ID0000002654,NIH,NIH,
,ID00001910,LifeCell,Industry,LFC 2007.03.01
,ID0000005413,OCTRI,OHSU,
,ID0000000631,UNFUNDED,,
,ID00005578,Unfunded,Other,
,ID0000000775,Novartis,Industry,CICL670AUS03
,ID0000001264,"Novartis Pharmaceuticals, Inc.",Industry,
,ID00002282,Unfunded,Other,
,ID0000002177,Robert Wood Johnson Foundation,Foundation,56200
,ID00003124,NIA ,NIH,AG033581
,ID0000002130,Unfunded ,,
,ID00000606,Unfunded,Other,
,ID00003443,National Institute of Mental Health,NIH,R34 MH092503-01 
,ID00003492,federal,NIH,R01 EY017723
,ID0000000890,unfunded,,
,00000531,Self funded,Other,
,00000858,National Institute of Health,NIH,
,ID0000003554,Unfunded,,
,ID00004208,unfunded,Other,unfunded
,ID00000493,Unfunded,OHSU,
,ID0000000452,unfunded,,
,ID00002630,Abaxis Inc. Vanderbilt University Medical Center / IRB fees waived per CS,Industry,
,ID00001010,GE Healthcare Ltd.,Industry,
,ID00000949,OHSU Foundation,OHSU,N/A
,ID0000000643,PSOC,,
,ID00002809,Hoffmann-La Roche,Industry,
,00002204,New faculty start-up research funds,OHSU,
,ID0000005091,Bayer HealthCare Pharmaceuticals,Industry,
,ID00000996,American Academy of Family Physicians Foundation,Foundation,G0807RS
,ID0000002095,Internally funded,Other,
,ID0000000491,Pfizer Inc.,Industry,
,ID0000001456,Novartis,Industry,
,ID00000184,unfunded,Other,
,ID0000002031,Novartis Pharmaceticals,Industry,CSTI571AUS33
,ID00003914,Tibotec,Industry,VX-950-C2111
,ID00004774,HRSA,Other Federal,UB2HA20235
,ID00003389,Novartis Pharmaceuticals,Industry,
,ID0000000370,Northwest Health Foundation,Foundation,
,ID0000002234,"Biogen Idec, Inc.",Industry,
,ID00004205,Novartis,Industry,
,00000266,NIH,NIH,
,ID0000004784,Unfunded,OHSU,
,ID00001795,Philips Healthcare / Industry,Industry,
,ID00000875,Unfunded,Other,
,ID00001781,Division of Urolgoy,OHSU,
,ID0000002444,Unfunded,OHSU,
,ID00003206,NARSAD,Foundation,
,ID0000001692,NIMH,NIH,
,ID0000003227,Renovo Limited,Industry,RN1001-0042
,ID0000001259,Novartis Pharmaceuticals,Industry,
,ID0000000262,Indiana University School of Medicine,Other,
,ID0000001198,Unfunded,,
,ID00004262,unfunded,Other,
,ID0000002204,National Institute of Health,NIH,5T32 DK007674-12
,ID00000094,"ImClone Systems, Inc. future fees waived cs",Industry,
,ID00001845,Philips Ultrasound Inc.,Industry,
,ID0000002709,Unfunded,,
,ID0000004318,Unfunded,Other,
,ID0000004300,Unfunded,Other,
,ID0000005458,Unfunded,OHSU,
,ID0000005377,OCTRI,OHSU,
,ID00001835,Lilly - IRQ & Waiver of Oversight fees waived,Industry,
,ID00001421,US Government,NIH,P01
,ID00000780,unfunded,Other,
,ID00004571,unfunded,OHSU,
,ID0000002376,Unfunded,,
,ID00000496,Alex's Lemonade Stand Foundation,Foundation,
,ID00004924,Unfunded,OHSU,
,ID0000005490,Novartis Pharmaceuticals,Industry,
,ID0000003065,Research to Prevent Blindness,Foundation,
,ID0000005090,ImClone Systems Incorporated,Industry,
,ID00000219,"Discovery Laboratories, Inc.",Industry,
,ID00001479,None,Other,
,ID00001317,St. Jude Children's Hospital,Foundation,
,ID00004330,unfunded,Other,
,ID00001920,Unfunded,Other,
,00000443,NIH,NIH,
,ID00001187,Unfunded,OHSU,
,ID0000004291,Unfunded,Other,
,ID00001032,National Institute of Mental Health,NIH,R34 MH083494
,ID0000002117,NCI/COG,,
,ID0000001394,Unfunded,,
,ID00004680,none,Other,
,ID0000001909,National Institute on Drug Abuse,NIH,R01 DA 14688
,ID00003689,K12 BIRCWH,NIH,
,ID00002170,Unfunded,Other,N/A
,ID0000002120,unfunded,,
,ID0000002659,Unfunded,,
,ID00002763,National Cancer Institute,NIH,
,ID0000002366,NIDCR,,
,ID0000002717,NICHD,,
,ID00005033,NIDA on sub-award from Portland State University,NIH,1 R21 DA031361
,ID00002972,NCI,NIH,5 R01 CA65823 - competitive renewal pending
,ID0000000016,Unfunded,,
,00001516,Hopkins DSRTF subcontract,Other,20110310113501710
,ID00000011,Unfunded,Other,
,ID0000001839,Welch Allyn ,Industry,
,ID00000107,Unfunded,Other,
,ID00005664,Maternal and Child Health Block Grant - Title V ,Other Federal,
,ID0000003031,Unfunded,,
,ID00002153,unfunded,Other,
,ID0000003389,renovo,Industry,
,ID00001776,National Cancer Institute,NIH,1R01CA131141-01A1
,ID0000001057,Federal,Other Federal,
,ID00000148,Unfunded - Investigator Initiated Study,OHSU,
,ID00001619,Intel,Industry,
,ID0000003983,Unfunded,,
,ID00005173,Unfunded,Other,
,ID00001630,"Blacktoe Medical III, Inc",Industry,
,ID00003432,Unfunded,Other,
,ID00002444,Unfunded,OHSU,
,ID0000003082,unfunded,,
,ID00004324,OHSU Foundation 24620,Foundation,
,ID0000003197,Unfunded,,
,ID0000002024,Unfunded,,
,00002483,Foundation (gift from intel),Foundation,24416
,ID0000001587,GlaxoSmithKline,Industry,Protocol SB-275833/032
,ID00005580,"Gilead Sciences, Inc.",Industry,P7977-1231
,ID00002767,OSLER,NIH,
,ID00000077,OHSU Foundation,OHSU,
,ID0000002580,Unfunded,,
,ID00001498,Not yet funded,Other,
,ID00003810,Cepheid (a diagnostic company)/Industry,Industry,
,ID0000000699,VA Cooperative Studies Program,Other Federal,
,ID00000204,unfunded ,Other Federal,
,ID0000001346,Unfunded,,
,ID00000354,Society of Family Planning,Foundation,
,ID00003294,Cancer and Leukemia Group B,NIH,
,ID0000000588,Cephalon Parmacuticals,Industry,
,ID00003361,Layton Aging and Alzheimer's Disease Center,Other,Non-Industry clinical trial
,ID00000033,unfunded,Other,
,ID0000001727,Kyowa Pharmaceutical Inc,Industry,Protocol # 6002-US-051
,ID00005499,NIH - NEI,NIH,RO1 EY018184
,ID00000962,OCTRI,OHSU,
,ID00002102,Isis,Industry,
,ID00005119,Unfunded,Other,
,ID00000693,University of Michigan - NIH grant,NIH,
,ID0000003561,Unfunded,OHSU,
,ID00005393,NIA,NIH,P30AG024978
,ID00001547,"ADMA Biologics, Inc.",Industry,
,ID00005497,Jaeb Center,NIH,
,ID00001907,Unfunded,Other,
,ID0000002374,Internally funded,,
,ID0000003569,Pharmaceutical company-Sanofi-Aventis,Industry,
,ID00004082,SU2C-AACR,Foundation,SU2C-AACR-DT0409 
,ID0000001308,"Berlex, Inc.",Industry,
,ID00000080,Heart Research Center,OHSU,
,ID00003580,Unfunded,OHSU,
,ID00000356,unfunded,Other,
,ID00001274,Unfunded,Other,
,ID0000004148,unfunded,OHSU,
,00000224,Continuing Grant,Other Federal,IIS0713690
,ID00002002,Children's Hospital of Boston,Other Federal,
,ID00003281,DHHS NIH Natl Inst of Child Hlth & Human Dvlp,Federal,
,00002686,American Academy of Pediatrics,Foundation,
,ID00008596,OHSU SOM Faculty Innovation Fund,Foundation,
DR00002764,ID00012172,Corcept Therapeutics,Industry,
,ID00005907,Millennium Pharmaceuticals Inc,Industry,
,ID00001265,PI funds,Other,
,ID00002268,"Schering-Plough Research Institute, a Division of Schering Corporation",Industry,P05633
,ID0000003451,Internal,OHSU,
,ID0000000374,NEI/NIH,NIH,EY014594 
,00000755,NIA,NIH,P30AG024978 
,ID00002918,R01 if this proposal is funded,NIH,
,ID00003555,RTOG,NIH,
,00000508,Mind and Life Institute,Foundation,
,ID0000005378,NIMH,NIH,5 R21 MH071911-03
,ID00003461,GlaxoSmithKline,Industry,GLP114179
,ID00000512,Oregon State University department funds,Other,NA
,ID0000000649,General Clinical Research Center (GCRC),Other,
,ID0000001430,Aventis Pharmaceuticals,Industry,
,ID0000004361,Beaufour Ipsen Pharma SAS,Industry,MS315
,ID00003450,Unfunded,Other,
,ID0000002118,"Astellas Pharma US, Inc.",Industry,001
,ID00003053,Gerlinger Foundation,Foundation,
,ID00001731,unfunded,Other,
,ID0000000221,VA RR&D,Other Federal,C3213R
,ID0000001560,The Children's Guild,Foundation,
,ID0000002466,Unfunded,,
,ID00001950,Cystic Fibrosis Foundation,Foundation,
,ID0000001724,Unfunded,,
,00000142,NCI/COG,Other Federal,
,ID0000000754,NCI/COG,Other Federal,
,ID0000001162,Pfizer Global Research & Development,Industry,A2181002
,ID0000000355,NIH,,
,ID0000002370,Industry,,
,ID0000000798,FzioMed Inc.,Industry,GNEUS0028
,ID0000000390,Unfunded,,
,ID0000001131,ImClone Systems Incorporated,Industry,
,ID00000227,unfunded,Other,
,ID00000575,Unfunded,Other,
,ID0000004232,Unfunded,Other,
,ID00004048,Unfunded,Other,
,ID0000001282,Unfunded,,
,ID00000021,DHHS NIH Natl Eye Inst,Federal,NRSA (Rosenzweig/Rosenbaum)
,IDM0001063,Janssen Research & Development LLC,Industry,
,ID00002567,Friends of Doernbecher,Foundation,65714
DR00001593,IDM0002887,Daiichi Sankyo Company Inc,Industry,
,IDM0001253,OHSU-Layton Ctr for Aging and Alzheimer Research,Academic Institution/Univ,
,ID00004065,Seres Therapeutics Inc,Industry,
,IDM0001454,DHHS Substance Abuse and Mental Hlth Service Admin,Federal,TI-13-002
DR00001033,IDM0000767,Davol Inc,Industry,DVL-HE-011
DR00002566,ID00007703,Prothena Therapeutics Ltd,Industry,
,ID00003415,Susan G Komen for the Cure,Foundation,
,ID00009432,DHHS National Institutes of Health,Federal,R03 DA040854
,ID00006958,State of Oregon,State Oregon,144258
,IDM0000654,DHHS National Institutes of Health,Federal,U54 A1082973
,IDM0003230,DHHS National Institutes of Health,Federal,NIH R01 NS040801
,ID00010071,Alzheimer's Association,Foundation,ETAC-12-239042
,IDM0001425,DHHS Agency for Hlthcare Rsch and Quality,Federal,
,ID00005769,DHHS NIH Natl Inst of Neuro Disorders & Stroke,Federal,
,ID00007143,DHHS NIH Natl Inst of Neuro Disorders & Stroke,Federal,5U10NS077350-03
,ID00005106,Merrimack Pharmaceuticals Inc,Industry,
,ID00006705,"NSABP Fnd, Inc.",Foundation,
,ID0000002339,"AVI BioPharma, Inc.",Industry,AVI-4065-20
,00001008,Leukemia and Lymphoma Society,Foundation,7393-06
,ID00006149,Sanofi-Aventis US,Industry,
,ID00009683,"AMAG Pharmaceuticals, Inc",Industry,
,ID00011283,OHSU Foundation,Foundation,
,ID00006618,Oregon Center for Aging and Technology (ORCATECH),Foundation,
DR00002458,ID00009479,AbbVie Inc,Industry,
,ID00006464,Radiation Therapy Oncology Group (RTOG),Federal,
,IDM0001651,NewLink Genetics Corporation,Industry,
,IDM0001054,DHHS Agency for Hlthcare Rsch and Quality,Federal,
,ID00002903,DHHS Agency for Hlthcare Rsch and Quality,Federal,
,ID00007183,DHHS NIH Natl Inst of Child Hlth & Human Dvlp,Federal,1R01HD082208-01
,ID0000001555,NCI/COG,Other Federal,
,ID00003423,Centocor,Industry,
,ID00000554,"Department of Dermatology, Oregon Health & Science University ",OHSU,
,ID00003609,"Gilead Sciences, Inc.",Industry,
,ID0000003252,Unfunded,,
,ID0000000839,"Acorda Therapeutics, Inc.",Industry,
,ID00000491,Unfunded,Other,
,ID00002010,"Robert L. Bacon Medical Education Enrichment Foundation, OHSU SOM Dean's office",Foundation,
,ID0000005400,"BIOTRONIK, Inc.  ",Industry,
,ID0000000392,NIH,NIH,
,ID0000002247,Unfunded,OHSU,
,ID0000003999,"Jazz Pharmaceuticals, Inc",Industry,06-009
,ID0000002147,Avalon Pharmaceuticals,Industry,
,ID00001474,unfunded,Other,
,ID00004730,National Cancer Institute,NIH,
,ID00001046,Unfunded,Other,
,ID0000002658,NW ADA & IT Center,Other,
,ID00000734,"Boehringer Ingelheim Pharmaceuticals, INC",Industry,
,ID00000194,Genentech,Industry,RO4964913
,ID0000000224,Glaxo Smith Kline,Industry,
,ID00001370,NIH/NINDS,NIH,9RO1CA137488
,00001595,The Leukemia & Lymphoma Society,Foundation,7005-11
,ID00000939,Amicus Therapeutics,Industry,AT2220
,ID0000005452,Unfunded,Other,
,ID00005516,BMS (Supporting),Industry,BMS #CA184059
,ID0000000563,Roche Pharmaceuticals ,Industry,
,ID0000005361,Unfunded,Other,
,ID0000002656,Unfunded,,
,ID0000003096,Sanofi-Aventis ,Industry,
,ID0000000825,Unfunded,,
,ID0000002058,Ventripoint Inc.,Industry,
,ID0000000860,Unfunded,,
,ID00005405,Murphy Fund-Donation,Foundation,
,ID00002732,Unfunded (internally funded by OCTRI Education Program: The Oregon Students Learn and Explore Research (OSLER) TL1),OHSU,
,ID00003897,National Institute on Drug Abuse,NIH,1K23DA023467-01A1
,ID0000002034,NCI/COG,Other Federal,
,ID0000001989,Non-funded,,
,ID0000004273,No funding needed. Research to be done by the principle investigator.,Other,
,ID0000002249,Southwest Oncology Group,NIH,
,ID0000001365,unfunded,Other,
,ID0000001894,Federal,Other Federal,
,ID00001251,Susan Thompson Buffett Foundation,Foundation,
,ID0000001605,internally funded,,
,ID0000001060,Subcontract through University of Washington,Other Federal,
,ID0000003516,"NIH, National Center for Complementary and Alternative Medicine",NIH,1 K23 AT01993-01A2
,ID00001686,Medical Research Foundation,Foundation,
,ID00003231,unfunded,Other,
,ID0000004160,Department of Otolaryngology,OHSU,
,00001000,unfunded,Other,
,ID00000513,Applied Spine,Industry,
,ID0000000076,NIH/NMDP,NIH,
,ID00004329,VGTI FL,Other,
,ID0000004360,unfunded,Other,
,ID0000001158,"Eyetech Pharmaceuticals, Inc.",Industry,
,ID0000001636,NCI/COG,,
,ID00002970,NIH CHALLENGE GRANTS AND PARTNERSHIPS ,NIH,1RC1DA028537-01
,ID0000005555,unfunded,Other,
,ID00000991,SUPPORTED BY: Medicis Pharmaceuticals,Industry,
,ID00003597,Unfunded,Other,
,ID0000004829,NIH grant,NIH,AI 059335-03
,ID0000001551,Unfunded,,
,ID00002122,"Office for Women’s Health Research (BIRCWH), OHSU Dept of Ob/Gyn K12 Award ",NIH,2K12HD043488-06
,ID0000000836,GCRC,NIH,PHS Grant 5 MO1 RR000334
,ID0000003058,Unfunded,,
,ID00000334,The Layton Center for Aging & Alzheimer Research,OHSU,
,ID0000000655,NIH,NIH,
,ID00002938,NIH,NIH,
,ID0000000400,"Myogen, Inc.",Industry,AMB-320
,ID00005472,unfunded,Other,
,ID00002985,me,Other,
,ID0000003251,Sanofi-Sythelabo Research,Industry,Protocol EFC 4798
,ID0000002389,Novartis,Industry,IRB fees prebilled no future fees CS
,ID0000000971,NCI/COG,Other Federal,
,ID00003425,BMT CTN,NIH,
,ID00005397,Northwest Health Foundation,Foundation,GSONO0228A
,ID00000389,unfunded,OHSU,
