eCRIS Contract Nbr,Contract Type,Workflow State From,State Entry Dt,Workflow State To,State Exit Dt
DR00001376,Confidentiality Agreement,In OHSU Review,2016-05-03 18:44:07,Negotiation Complete,2016-05-03 18:44:19
DR00000773,Confidentiality Agreement,In OHSU Review,2015-05-01 20:50:48,Negotiation Complete,2015-05-01 20:50:52
DR00000125,Contract,Initial,,Agreement Received (Waiting for Data Entry),
DR00002607,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00000572,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00001967,Contract,Waiting for OHSU Signatures,2017-11-15 20:23:51,Waiting for Sponsor Signature,2017-11-15 22:29:32
DR00000073,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00002076,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00002586,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00001732,Amendment,In OHSU Review,2016-10-06 17:05:50,Negotiation Complete,2016-10-06 17:05:58
DR00001955,Amendment,In OHSU Review,2017-03-07 20:22:59,Negotiation Complete,2017-03-07 20:23:04
DR00000646,Confidentiality Agreement,In OHSU Review,2015-03-09 19:13:58,Negotiation Complete,2015-03-09 19:14:15
DR00001351,Contract,In OHSU Review,2016-08-04 21:09:29,In External Review,2016-08-05 20:43:16
DR00001404,Confidentiality Agreement,In OHSU Review,2016-09-21 21:43:17,Negotiation Complete,2016-09-21 21:43:40
DR00000585,Contract,Initial,,Agreement Received (Waiting for Data Entry),
DR00001528,Contract,Initial,,Agreement Received (Waiting for Data Entry),
DR00000241,Contract,Negotiation In Process,2014-05-29 22:10:52,In External Review,2014-05-29 22:32:33
DR00002744,Contract,In OHSU Review,2018-03-01 22:57:47,In External Review,2018-03-09 22:28:29
DR00001565,Confidentiality Agreement,In OHSU Review,2016-08-03 19:47:12,In External Review,2016-08-03 20:07:20
DR00000772,Contract,In OHSU Review,2015-07-24 21:43:06,In External Review,2015-07-24 21:52:36
DR00000147,Contract,In OHSU Review,2014-04-25 17:01:39,In External Review,2014-04-25 23:09:49
DR00000725,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00000595,Contract,Negotiation In Process,2015-03-02 19:19:30,In External Review,2015-04-16 23:05:40
DR00000941,Contract,Negotiation In Process,2015-11-23 19:46:17,In External Review,2015-12-18 23:58:46
DR00002039,Contract,In OHSU Review,2017-04-24 22:45:06,In External Review,2018-02-15 21:04:46
DR00002836,Confidentiality Agreement,In OHSU Review,2018-03-26 22:29:35,In External Review,2018-03-26 22:33:19
DR00000350,Confidentiality Agreement,In OHSU Review,2014-07-30 23:51:47,In External Review,2014-07-31 00:00:21
DR00002437,Contract,In OHSU Review,2018-03-23 19:33:58,In External Review,2018-03-27 21:17:28
DR00002256,Confidentiality Agreement,In OHSU Review,2017-06-27 15:32:46,In External Review,2017-06-28 21:27:36
DR00002480,Contract,Initial,,Agreement Received (Waiting for Data Entry),
DR00002311,Contract,In OHSU Review,2017-10-02 21:36:14,In External Review,2018-01-18 00:08:32
DR00001646,Contract,In OHSU Review,2016-12-19 17:17:30,In External Review,2017-01-18 18:09:01
DR00000669,Contract,In OHSU Review,2015-06-23 00:29:12,In External Review,2015-06-23 00:32:05
DR00001314,Confidentiality Agreement,In OHSU Review,2016-03-07 21:43:03,Negotiation Complete,2016-03-07 21:45:23
DR00001154,Confidentiality Agreement,In OHSU Review,2015-12-11 17:35:52,Negotiation Complete,2015-12-11 17:35:56
DR00000575,Confidentiality Agreement,In OHSU Review,2015-01-09 02:07:27,Negotiation Complete,2015-01-16 22:53:35
DR00000105,Contract,In OHSU Review,2014-03-19 19:39:12,In External Review,2014-03-19 19:41:46
DR00002476,Confidentiality Agreement,In OHSU Review,2017-10-20 18:27:30,In External Review,2017-10-20 18:27:48
DR00000676,Contract,In OHSU Review,2015-09-30 19:33:41,In External Review,2015-09-30 19:36:06
DR00000840,Confidentiality Agreement,In OHSU Review,2015-06-23 22:04:08,In External Review,2015-06-24 00:20:54
DR00000630,Confidentiality Agreement,In OHSU Review,2015-03-10 18:17:44,In External Review,2015-03-10 18:20:38
DR00001834,Confidentiality Agreement,In OHSU Review,2016-12-05 18:08:33,In External Review,2016-12-05 18:10:28
DR00002297,Contract,In OHSU Review,2018-01-05 20:53:34,In External Review,2018-01-26 23:02:09
DR00001653,Confidentiality Agreement,Negotiation In Process,2016-09-02 19:53:10,In External Review,2016-09-02 21:02:19
DR00000309,Contract,In OHSU Review,2014-09-16 16:35:01,In External Review,2014-09-23 19:03:33
DR00001208,Contract,In OHSU Review,2016-09-09 20:58:37,In External Review,2016-09-16 18:45:57
DR00002036,Contract,In OHSU Review,2018-01-03 23:42:17,In External Review,2018-02-07 19:22:47
DR00001526,Confidentiality Agreement,In OHSU Review,2016-07-15 01:03:48,In External Review,2016-07-15 01:05:27
DR00001271,Confidentiality Agreement,Agreement Received (Waiting for Data Entry),2016-02-11 18:10:27,Agreement Uploaded/ Waiting for Negotiation,2016-02-11 18:10:28
DR00001505,Contract,Agreement Received (Waiting for Data Entry),2016-06-14 17:52:28,Agreement Uploaded/ Waiting for Negotiation,2016-06-14 17:57:48
DR00001411,Master Contract,Agreement Received (Waiting for Data Entry),2016-04-21 19:21:06,Agreement Uploaded/ Waiting for Negotiation,2016-04-21 19:21:06
DR00001843,Contract,In External Review,2016-12-20 22:42:23,Negotiation Complete,2016-12-22 22:43:46
DR00002363,Confidentiality Agreement,Agreement Received (Waiting for Data Entry),2017-08-17 17:34:12,Agreement Uploaded/ Waiting for Negotiation,2017-08-17 17:34:12
DR00001274,Amendment,Agreement Received (Waiting for Data Entry),2016-02-12 16:19:59,Agreement Uploaded/ Waiting for Negotiation,2016-02-12 16:19:59
DR00001106,Confidentiality Agreement,Agreement Received (Waiting for Data Entry),2015-11-06 00:11:45,Agreement Uploaded/ Waiting for Negotiation,2015-11-06 00:11:45
DR00000142,Confidentiality Agreement,Agreement Received (Waiting for Data Entry),2014-02-05 17:29:41,Agreement Uploaded/ Waiting for Negotiation,2014-02-05 17:29:41
DR00000379,Confidentiality Agreement,Agreement Received (Waiting for Data Entry),2014-08-07 18:10:27,Agreement Uploaded/ Waiting for Negotiation,2014-08-07 18:10:27
DR00002709,Contract,Agreement Received (Waiting for Data Entry),2018-01-29 19:38:53,Agreement Uploaded/ Waiting for Negotiation,2018-01-29 19:42:17
DR00001597,Contract,Initial,,Agreement Received (Waiting for Data Entry),
DR00001060,Amendment,Waiting for OHSU Signatures,2017-03-13 20:40:50,Waiting for Sponsor Signature,2017-03-22 16:20:41
DR00001012,Contract,Negotiation In Process,2015-09-08 21:16:07,In External Review,2015-09-08 21:19:59
DR00001251,Contract,Negotiation In Process,2016-02-12 21:16:23,In External Review,2016-03-15 16:53:34
DR00001582,Contract,Waiting for OHSU Signatures,2016-08-03 20:12:30,Negotiation In Process,2016-10-13 16:56:21
DR00000375,Contract,Negotiation In Process,2014-10-04 00:28:47,In External Review,2014-10-04 00:29:59
DR00001740,Confidentiality Agreement,Negotiation In Process,2016-10-06 23:59:31,In External Review,2016-10-11 18:07:18
DR00000911,Contract,Negotiation In Process,2015-08-25 16:53:50,In External Review,2015-08-25 16:56:11
DR00002241,Contract,Initial,,Agreement Received (Waiting for Data Entry),
DR00002778,Amendment,Negotiation In Process,2018-02-23 23:00:10,In External Review,2018-02-23 23:01:36
DR00002798,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00001936,Amendment,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00001880,Contract,Waiting for OHSU Signatures,2017-03-08 19:01:28,Negotiation In Process,2017-03-15 22:07:39
DR00002748,Amendment,Waiting for OHSU Signatures,2018-02-08 20:07:12,Waiting for Sponsor Signature,2018-02-08 23:27:27
DR00002080,Contract,Initial,,Agreement Received (Waiting for Data Entry),
DR00000038,Contract,Initial,,Agreement Received (Waiting for Data Entry),
DR00000540,Confidentiality Agreement,Negotiation In Process,2014-11-24 17:50:24,Negotiation Complete,2014-11-24 17:50:36
DR00001020,Amendment,Negotiation In Process,2015-09-10 16:27:55,In External Review,2015-09-10 16:36:35
DR00002557,Contract,Initial,,Agreement Received (Waiting for Data Entry),
DR00000814,Contract,Waiting for Final Budget,2015-12-07 23:40:41,IRB and Budget Approved,2015-12-08 22:44:46
DR00001401,Confidentiality Agreement,Waiting for OHSU Signatures,2016-05-23 18:02:49,Waiting for Sponsor Signature,2016-05-24 21:16:40
DR00001591,Contract,Waiting for OHSU Signatures,2017-11-15 00:00:42,Waiting for Sponsor Signature,2017-11-15 21:10:05
DR00002832,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00002761,Contract,Initial,,Agreement Received (Waiting for Data Entry),
DR00000070,Confidentiality Agreement,Negotiation In Process,2013-11-25 21:57:27,In External Review,2013-11-25 22:21:15
DR00001521,Contract,Waiting for IRB Submission,2016-06-24 22:06:55,Withdrawn,2016-11-08 16:35:02
DR00001605,Confidentiality Agreement,Waiting for OHSU Signatures,2016-09-13 21:34:25,CDA Fully Executed,2016-09-13 21:54:01
DR00000976,Contract,Negotiation In Process,2015-09-21 16:41:16,Waiting for Final Budget,2015-10-27 22:20:53
DR00001353,Contract,Waiting for OHSU Signatures,2016-06-29 16:07:20,Pending SPA setup,2016-07-22 19:06:02
DR00001069,Confidentiality Agreement,Negotiation In Process,2015-11-02 19:26:24,In External Review,2015-11-02 20:12:05
DR00001351,Contract,Waiting for OHSU Signatures,2016-09-07 18:22:04,Waiting for Sponsor Signature,2016-09-09 15:54:04
DR00001606,Amendment,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00001443,Amendment,Waiting for OHSU Signatures,2016-05-10 22:29:33,Waiting for Sponsor Signature,2016-05-19 21:52:57
DR00002135,Amendment,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00001789,Contract,Negotiation In Process,2017-02-09 23:23:28,In External Review,2017-02-13 23:03:30
DR00000002,Contract,Initial,,Agreement Received (Waiting for Data Entry),
DR00001018,Amendment,In External Review,2015-10-13 18:14:28,In OHSU Review,2015-10-21 21:10:43
DR00000633,Contract,Initial,,Agreement Received (Waiting for Data Entry),
DR00001213,Contract,Negotiation In Process,2016-03-01 19:24:19,Waiting for IRB Approval of Study,2016-03-30 18:57:09
DR00001502,Confidentiality Agreement,Negotiation In Process,2016-06-10 22:59:55,In External Review,2016-06-13 16:36:36
DR00000334,Contract,In External Review,2014-06-18 23:32:15,In OHSU Review,2014-08-19 20:09:49
DR00000811,Confidentiality Agreement,In External Review,2015-06-17 23:29:37,In OHSU Review,2015-07-15 23:22:49
DR00000396,Confidentiality Agreement,In External Review,2014-08-21 18:44:28,In OHSU Review,2014-09-12 20:47:35
DR00001700,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00000956,Amendment,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00002051,Amendment,Waiting for OHSU Signatures,2017-05-04 17:37:47,Waiting for Sponsor Signature,2017-05-22 19:06:06
DR00001541,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00001406,Contract,Initial,,Agreement Received (Waiting for Data Entry),
DR00000991,Amendment,In External Review,2015-09-15 17:38:05,In OHSU Review,2015-10-01 18:35:15
DR00001285,Amendment,Negotiation In Process,2016-03-22 23:53:12,Negotiation Complete,2016-03-22 23:53:21
DR00000793,Contract,Negotiation In Process,2015-07-29 19:56:54,Waiting for Final Budget,2015-08-20 22:37:53
DR00001799,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00000659,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00001382,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00000824,Contract,Waiting for OHSU Signatures,2016-02-02 14:24:51,Waiting for Sponsor Signature,2016-03-03 18:01:56
DR00002447,Contract,Negotiation In Process,2017-09-28 19:30:32,In External Review,2017-09-28 19:32:03
DR00002304,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00000027,Confidentiality Agreement,Negotiation In Process,2013-10-24 22:12:18,In External Review,2013-10-24 22:22:08
DR00000772,Contract,In External Review,2015-06-24 17:46:22,In OHSU Review,2015-07-20 17:48:43
DR00001280,Contract,In External Review,2016-06-14 22:06:38,In OHSU Review,2016-06-21 19:17:36
DR00002098,Contract,In External Review,2017-05-10 23:36:28,In OHSU Review,2017-05-10 23:37:58
DR00000640,Amendment,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00000993,Contract,Waiting for OHSU Signatures,2015-09-02 17:21:16,Waiting for Sponsor Signature,2015-12-22 23:40:40
DR00001917,Contract,Pending SPA setup,2017-04-13 23:40:32,OGA Setup Complete,2017-04-18 11:05:18
DR00001413,Confidentiality Agreement,In OHSU Review,2016-05-09 20:59:14,In External Review,2016-05-09 21:01:00
DR00002200,Contract,In OHSU Review,2018-01-17 01:11:38,In External Review,2018-01-17 01:12:24
DR00000419,Contract,Waiting for IRB Submission,2014-09-04 23:46:00,Negotiation In Process,2014-09-26 23:11:51
DR00001249,Contract,Waiting for IRB Submission,2016-02-05 19:57:13,Negotiation In Process,2016-02-12 00:16:37
DR00001534,Contract,In External Review,2016-10-26 01:04:01,In OHSU Review,2016-11-03 16:18:44
DR00001673,Contract,In External Review,2016-10-17 16:57:21,In OHSU Review,2016-10-19 16:50:00
DR00002180,Contract,In OHSU Review,2017-07-11 23:26:56,IRB and Budget Approved,2017-07-11 23:27:04
DR00000590,Contract,In External Review,2015-03-12 23:10:36,In OHSU Review,2015-03-30 16:02:55
DR00000089,Contract,In External Review,2013-12-17 23:03:32,In OHSU Review,2014-01-07 15:32:25
DR00000562,Contract,In External Review,2015-03-05 21:44:24,In OHSU Review,2015-03-11 20:23:26
DR00000218,Contract,Agreement Received (Waiting for Data Entry),2014-03-31 15:51:29,Agreement Uploaded/ Waiting for Negotiation,2014-03-31 15:56:20
DR00002357,Confidentiality Agreement,Agreement Received (Waiting for Data Entry),2017-08-11 17:46:43,Agreement Uploaded/ Waiting for Negotiation,2017-08-11 17:46:44
DR00001321,Amendment,Agreement Received (Waiting for Data Entry),2016-03-09 21:00:45,Agreement Uploaded/ Waiting for Negotiation,2016-03-09 21:00:45
DR00002267,Contract,Agreement Received (Waiting for Data Entry),2017-06-26 15:14:54,Agreement Uploaded/ Waiting for Negotiation,2017-06-26 15:18:56
DR00001925,Confidentiality Agreement,In OHSU Review,2017-01-25 20:55:45,Negotiation Complete,2017-01-25 20:55:52
DR00000360,Confidentiality Agreement,In OHSU Review,2014-07-28 17:53:08,Negotiation Complete,2014-07-28 17:53:32
DR00000845,Master Contract,In OHSU Review,2015-07-24 20:01:36,Negotiation Complete,2015-07-24 20:02:39
DR00001312,Contract,Waiting for OHSU Signatures,2016-06-08 17:05:04,Waiting for Sponsor Signature,2016-07-01 16:52:41
DR00002429,Contract,Waiting for Final Budget,2018-01-09 22:39:25,IRB and Budget Approved,2018-01-10 01:49:32
DR00000683,Amendment,Waiting for OHSU Signatures,2015-03-30 17:32:45,Waiting for Sponsor Signature,2015-04-13 16:51:48
DR00000740,Amendment,Waiting for OHSU Signatures,2015-04-09 23:46:30,Waiting for Sponsor Signature,2015-04-17 23:01:20
DR00002538,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00000223,Confidentiality Agreement,Negotiation In Process,2014-05-12 21:45:39,Negotiation Complete,2014-05-12 21:46:03
DR00000990,Confidentiality Agreement,Agreement Received (Waiting for Data Entry),2015-08-25 21:58:46,Agreement Uploaded/ Waiting for Negotiation,2015-08-25 21:58:47
DR00002248,Confidentiality Agreement,Agreement Received (Waiting for Data Entry),2017-06-12 20:55:07,Agreement Uploaded/ Waiting for Negotiation,2017-06-12 20:55:08
DR00000323,Confidentiality Agreement,Agreement Received (Waiting for Data Entry),2014-06-09 22:37:37,Agreement Uploaded/ Waiting for Negotiation,2014-06-09 22:37:37
DR00000835,Confidentiality Agreement,In External Review,2015-06-03 22:51:07,Negotiation Complete,2015-07-27 16:27:08
DR00001799,Confidentiality Agreement,Agreement Received (Waiting for Data Entry),2016-11-02 21:01:29,Agreement Uploaded/ Waiting for Negotiation,2016-11-02 21:01:29
DR00001160,Confidentiality Agreement,Agreement Received (Waiting for Data Entry),2015-12-14 17:18:12,Agreement Uploaded/ Waiting for Negotiation,2015-12-14 17:18:13
DR00000947,Confidentiality Agreement,Agreement Received (Waiting for Data Entry),2015-08-04 23:35:15,Agreement Uploaded/ Waiting for Negotiation,2015-08-04 23:35:15
DR00001985,Confidentiality Agreement,In OHSU Review,2017-03-01 19:31:08,Negotiation Complete,2017-03-03 00:04:40
DR00001413,Confidentiality Agreement,In OHSU Review,2016-05-18 16:05:43,Negotiation Complete,2016-05-18 16:05:49
DR00001259,Amendment,In OHSU Review,2016-03-14 22:04:08,Negotiation Complete,2016-03-14 22:04:44
DR00002812,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00000167,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00000068,Contract,Waiting for OHSU Signatures,2014-03-06 23:24:03,Waiting for Sponsor Signature,2014-03-14 22:23:48
DR00001699,Confidentiality Agreement,In External Review,2016-09-22 22:56:11,In OHSU Review,2016-09-30 18:54:57
DR00002367,Confidentiality Agreement,In External Review,2017-08-21 22:48:42,In OHSU Review,2017-08-31 22:50:56
DR00002228,Confidentiality Agreement,In OHSU Review,2017-06-14 15:30:28,In External Review,2017-06-14 18:18:26
DR00002367,Confidentiality Agreement,In OHSU Review,2017-09-21 20:59:37,In External Review,2017-09-21 21:01:01
DR00002339,Confidentiality Agreement,In OHSU Review,2017-08-28 17:58:01,In External Review,2017-08-28 17:59:24
DR00002618,Contract,In External Review,2018-01-17 00:16:12,In OHSU Review,2018-02-13 23:21:42
