eCRIS Contract Nbr,IRB Nbr,CRS Study Nbr,Contract Type,Contract Name,Study Sponsor,Master Agreement Flag,Template Agreement Flag,Contract Funding Mechanism,Originating Agency,Preaward Contact,Principal Investigator,Subcontractee,Contract Status,Contract Status Change Dt,Executed Dt,Negotiation Complete Dt,Negotiation Start Dt,Created Dt,Pending SPA Setup Dt,Hold Time,Industrial Acct Nbr,CT.gov Primary Completion Dt,CT.gov Study Completion Dt,OHSU Multicenter Study Flag,Study Type,Award Org Name,Study Phase,Drug - IND,Ongoing Study Flag,Clinical Services Flag,Drug Study Flag,PI Initiated Flag,OHSU PI is Lead PI Flag,IRB Approval Dt,IRB Expiration Dt,Review Category,IRB Status Change Dt,IRB Termination Dt,Cancer Study Flag,IRB Study Submitted Dt,Clinical Trial Flag,Prospective Consent Flag
DR00000204,,,Confidentiality Agreement,Prothena Biosciences(Worldwide Clinical Trials) PRX002 CDA OHSU_Quinn,Prothena Biosciences Inc,No,No,Contract,,Jennifer Mair,Joseph Quinn,,CDA Fully Executed,2014-05-14 10:44:46,2014-05-14 18:44:45,2014-04-11 12:16:54,2014-04-01 18:52:00,2014-03-18 17:32:32,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000255,IRB00010605,CRS00000414,Contract,AstraZeneca D3610C00001 CSA OHSU_Taylor,AstraZeneca AB,No,No,Contract,,Jacqueline Brown, ,,OGA Setup Complete,2014-09-04 03:00:04,2014-08-26 07:00:00,2014-07-18 13:06:04,2014-03-27 07:00:00,2014-04-21 22:02:46,2014-08-27 12:42:23,0,100097008,,,No,Interventional,SM.Knight Phase I Clinical Trials,Phase 1,Yes,No,Yes,Yes,No,No,2014-07-10 07:00:00,2016-06-09 16:13:00,Full Board,2016-06-09 16:13:00,,Yes,2014-04-18 16:03:02,Yes,Yes
DR00000266,IRB00010642,CRS00000452,Contract,Boston Scientific ACCELERATE CSA OHSU_Stacey,Boston Scientific Corporation,No,No,Contract,,Kristen Baptiste, ,,OGA Setup Complete,2014-10-24 03:00:04,2014-10-16 07:00:00,2014-10-10 00:00:00,2014-07-11 19:49:00,2014-04-28 20:19:37,2014-10-17 13:35:04,0,100096921,,,No,Interventional,SM.Anesthesiology-Research,Phase 3,No,No,Yes,No,No,No,2014-05-20 07:00:00,2017-06-08 15:33:00,Full Board,2017-06-08 15:33:00,,No,2014-04-28 12:48:19,Yes,Yes
DR00000027,,,Confidentiality Agreement,TKL Ped-Adult Atopic Derm NDA OHSU_Hanifin,TKL Research Inc,No,No,Contract,,Jennifer Mair,Jon Hanifin,,CDA Fully Executed,2014-01-07 14:07:29,2014-01-07 22:07:28,2013-11-14 17:25:21,2013-10-24 22:12:00,2013-10-14 20:19:54,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000054,IRB00010161,CRS00000064,Contract,Capricor ALLSTAR CTA OHSU_Gupta,Capricor Inc,No,No,Contract,,Kristen Baptiste, ,,OGA Setup Complete,2014-11-22 04:00:06,2014-11-19 08:00:00,2014-11-14 09:03:14,,2013-10-29 23:00:47,2014-11-19 16:28:26,0,100096881,,,No,Interventional,SM.CAR Administration,Phase 1/Phase 2,Yes,No,Yes,Yes,No,No,2014-03-18 07:00:00,2017-01-25 22:55:00,Full Board,2017-01-25 22:55:00,,No,2014-01-06 10:26:21,Yes,Yes
DR00000063,,,Confidentiality Agreement,Summit (Medpace) SMT19969 CDA OHSU_Martindale,Summit (Oxford) Ltd,No,No,Contract,,Jennifer Mair,Robert Martindale,,CDA Fully Executed,2013-12-20 12:41:54,2013-12-20 20:41:53,2013-12-13 13:40:16,2013-11-13 16:30:00,2013-11-13 16:28:52,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000196,,,Amendment,BMS Am 4 to MCTA_OHSU FE exp 31DEC2013,Bristol-Myers Squibb,No,No,Contract,,Jacqueline Brown, ,,Amendment Fully Executed,2014-03-11 10:38:59,2014-03-11 18:38:58,2014-03-11 11:37:10,2014-03-11 18:37:00,2014-03-11 18:36:53,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000206,IRB00010449,CRS00000155,Contract,NovoNordisk HAEM-4073 Appendix to MCTA OHSU_Recht,Novo Nordisk Inc,Yes,No,Contract,,Kristen Baptiste, ,,OGA Setup Complete,2014-06-05 03:00:04,2014-05-28 07:00:00,2014-05-09 11:30:51,2014-04-08 21:09:00,2014-03-20 20:38:54,2014-05-30 10:46:32,0,,,,No,Interventional,SM.Peds Hemonc,N/A,No,No,No,No,No,No,2014-03-23 07:00:00,2016-03-13 08:00:00,Expedited,2015-03-27 15:34:41,2015-03-27 07:00:00,No,2014-03-05 22:27:39,,No
DR00000220,IRB00010537,CRS00000268,Contract,Novartis ABL001X2101-5002 CTRF OHSU_Heinrich,Novartis Pharmaceuticals Corporation,Yes,No,Contract,,Jacqueline Brown, ,,OGA Setup Complete,2014-07-16 03:00:04,2014-07-09 18:47:41,2014-06-17 16:23:47,2014-05-12 16:45:00,2014-03-31 21:28:56,2014-07-09 10:47:43,106.56,100097057,,,No,Interventional,SM.Knight CHM Clin Trials,Phase 1,Yes,No,Yes,Yes,No,No,2014-05-16 07:00:00,2019-03-01 08:00:00,Full Board,2018-01-27 03:11:00,,Yes,2014-03-24 14:21:58,Yes,Yes
DR00000224,IRB00010497,CRS00000322,Contract,Sanofi EFC12404 WO to Master OHSU_Ahmann,Sanofi-Aventis US,Yes,No,Contract,,Kristen Baptiste, ,,OGA Setup Complete,2014-07-08 03:00:04,2014-05-08 07:00:00,2014-05-07 15:04:25,2014-04-17 22:59:00,2014-04-01 22:15:22,2014-07-02 15:06:43,0,100097021,,,No,Interventional,SM.Diabetes Center,Phase 3,Yes,No,Yes,Yes,No,No,2014-04-15 07:00:00,2016-04-05 07:00:00,Full Board,2015-11-12 15:19:29,2015-11-12 08:00:00,No,2014-03-31 17:39:36,,Yes
DR00000301,,,Confidentiality Agreement,Plexxikon PLX108-10 CDA OHSU_Ryan,Plexxikon,No,No,Contract,,Jacqueline Brown,Christopher Ryan,,CDA Fully Executed,2014-06-06 15:39:27,2014-06-06 23:39:26,2014-06-02 10:41:50,2014-05-27 07:00:00,2014-05-23 19:47:44,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000007,IRB00009358,CRS00000019,Contract,Contract,Novartis Pharmaceuticals Corporation,Yes,No,Contract,,Kristen Baptiste, ,,OGA Setup Complete,2013-11-12 04:00:06,2013-11-04 08:00:00,2013-04-02 00:00:00,2013-04-01 07:00:00,2013-09-09 22:55:32,2013-11-08 13:17:42,0,100097391,,,No,Interventional,SM.Pediatric Research,Phase 3,Yes,No,Yes,Yes,No,No,2013-07-11 07:00:00,2018-02-27 18:39:00,Full Board,2018-02-27 18:39:00,,No,2013-04-01 10:12:47,No,No
DR00000070,,,Confidentiality Agreement,GW Pharmaceuticals CDA OHSU_Roberts,GW Pharmaceuticals,No,No,Contract,,Kristen Baptiste,Colin Roberts,,CDA Fully Executed,2013-11-26 15:20:50,2013-11-26 23:20:49,2013-11-26 13:29:17,2013-11-25 21:57:00,2013-11-20 17:35:41,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000092,,,Confidentiality Agreement,Aegerion AEGR733025LOWER CDA OHSU_Shapiro,Aegerion Pharmaceuticals Inc,No,No,Contract,,Jacqueline Brown,Michael Shapiro,,CDA Fully Executed,2014-01-07 13:22:00,2014-01-07 21:21:59,2013-12-10 01:00:00,2013-12-06 08:00:00,2013-12-11 17:34:37,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000108,IRB00010261,CRS00000093,Contract,Biogen Idec ESTEEM Observational Study Agreement OHSU_Mass,Biogen Inc,No,No,Contract,,Emily Purdin, ,,Withdrawn,2013-12-17 14:06:07,,,,2013-12-16 20:35:24,,0,,,,No,Observational,SM.Neu Multiple Sclerosis,N/A,No,No,No,No,No,No,2014-03-05 08:00:00,2016-02-23 08:00:00,Expedited,2015-09-28 14:59:35,2015-09-28 07:00:00,No,2013-12-30 15:47:31,,Yes
DR00000115,,,Confidentiality Agreement,Quintiles (BIPI) 1302.5 CDA OHSU_Lopez-Chavez,Boehringer Ingelheim Pharmaceuticals Inc,No,No,Contract,,Jacqueline Brown,Ariel Lopez-Chavez,,CDA Fully Executed,2014-05-07 09:27:31,2014-05-07 17:27:31,2014-02-11 01:00:00,2014-01-03 21:58:00,2014-01-03 21:17:17,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000144,,,Confidentiality Agreement,Otsuka (TKL) 271-12-205 CDA OHSU_Hanifin,Otsuka Pharmaceutical Development & Commercialization,No,No,Contract,,Jennifer Mair,Jon Hanifin,,CDA Fully Executed,2014-05-07 11:50:14,2014-05-07 19:50:13,2014-03-20 11:19:42,2014-02-07 08:00:00,2014-02-07 20:46:25,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000151,IRB00010288,CRS00000140,Contract,BMS AI444-216-0020 Study Letter OHSU_Zaman,Bristol-Myers Squibb,Yes,No,Contract,,Jennifer Mair, ,,OGA Setup Complete,2014-03-14 03:00:01,2014-03-04 08:00:00,2014-02-20 15:32:52,2014-01-14 08:00:00,2014-02-14 21:02:01,2014-03-10 12:36:59,0,100097252,,,No,Interventional,SM.GST Administration,Phase 3,Yes,No,Yes,Yes,No,No,2014-02-04 08:00:00,2016-01-19 08:00:00,Full Board,2015-05-04 04:23:48,2015-05-03 07:00:00,No,2014-01-13 18:39:52,,Yes
DR00000173,IRB00010254,CRS00000082,Contract,Millennium VELCADE X05421 PI Init. CTA OHSU_Heitner,Millennium Pharmaceuticals Inc,No,No,Contract,,Kristen Baptiste, ,,OGA Setup Complete,2014-11-18 04:00:04,2014-11-14 23:11:42,2014-11-07 10:48:36,2014-05-14 17:05:00,2014-02-27 19:51:14,2014-11-14 15:11:44,0,100096888,,,No,Interventional,SM.KCVI Clinical Trials,Phase 4,No,No,Yes,No,Yes,No,2014-03-28 07:00:00,2017-11-24 17:18:00,Expedited,2017-11-24 17:18:00,,Yes,2014-02-25 16:02:31,Yes,Yes
DR00000195,,,Amendment,BMS Am 3 to MCTA_OHSU FE exp 31DEC2012,Bristol-Myers Squibb,No,No,Contract,,Jacqueline Brown, ,,Amendment Fully Executed,2014-03-11 10:34:17,2014-03-11 18:34:15,2014-03-11 11:31:50,2014-03-11 18:31:00,2014-03-11 18:31:32,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000241,IRB00010425,CRS00000125,Contract,ARCA Biopharma (Duke) 5969 Genetic-AF Addendum OHSU_Henrikson,ARCA biopharma,No,No,Contract,,Kristen Baptiste, ,,OGA Setup Complete,2014-11-05 04:00:07,2014-10-28 07:00:00,2014-09-04 08:37:26,2014-05-29 22:10:00,2014-04-15 21:00:10,2014-10-29 10:36:35,0,100096912,,,No,Interventional,SM.CAR Administration,Phase 2/Phase 3,Yes,No,Yes,Yes,No,No,2014-07-24 07:00:00,2018-03-07 22:28:00,Full Board,2018-03-07 22:28:00,,No,2014-04-14 15:19:30,Yes,Yes
DR00000276,,,Confidentiality Agreement,Champions Oncology CDA OHSU_Ryan,Champions Oncology,No,No,Contract,,Jacqueline Brown,Christopher Ryan,,CDA Fully Executed,2014-05-23 08:27:58,2014-05-23 16:27:57,2014-05-20 00:00:00,2014-05-08 22:06:00,2014-05-06 18:43:18,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000298,,,Confidentiality Agreement,Incyte 47986-202 CDA OHSU_Chu,Incyte Corporation,No,No,Contract,,Jennifer Mair,Cong-Qiu Chu,,CDA Fully Executed,2014-07-11 12:30:27,2014-07-11 20:30:26,2014-06-12 11:13:45,2014-05-28 07:00:00,2014-05-21 23:29:02,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000317,,,Confidentiality Agreement,Integra LifeSciences (NEMA) DuraSeal Device CDA OHSU_Ragel,INTEGRA LIFESCIENCES CORPORATION,No,No,Contract,,Jennifer Mair,Brian Ragel,,CDA Fully Executed,2014-07-10 09:09:13,2014-07-10 17:09:12,2014-06-12 08:43:13,2014-06-06 18:45:00,2014-06-04 17:28:52,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000304,IRB00010673,CRS00000617,Contract,Biogen Idec (Quintiles) 998HB303 CTA OHSU_Recht,Biogen Inc,No,No,Contract,,Kristen Baptiste, ,,OGA Setup Complete,2015-03-11 03:00:04,2015-03-06 19:43:46,2015-02-12 09:45:28,,2014-05-27 22:31:01,2015-03-06 11:43:48,0,100096767,,,No,Interventional,SM.Peds Hemonc,Phase 3,Yes,No,Yes,Yes,No,No,2014-06-26 07:00:00,2018-04-09 07:00:00,Full Board,2017-11-11 12:05:00,,No,2014-06-02 10:41:14,Yes,Yes
DR00000428,,,Confidentiality Agreement,PCCTC UCLA CDA OHSU_Beer,"Univ. of California, Los Angeles",No,No,Contract,,Emily Purdin,Tomasz Beer,,CDA Fully Executed,2014-10-07 12:49:57,2014-10-07 20:49:56,2014-09-08 00:00:00,2014-09-05 07:00:00,2014-09-05 23:51:45,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000465,IRB00011104,CRS00001295,Contract,Baxter H14-22174 PI Initiated Agmt OHSU_Taylor,Baxter Healthcare Corporation,No,No,Contract,,Kristen Baptiste, ,,OGA Setup Complete,2014-12-24 04:00:08,2014-12-12 08:00:00,2014-11-24 01:00:00,2014-11-03 08:00:00,2014-10-01 21:26:46,2014-12-15 12:42:23,0,100096847,,,No,Interventional,SM.Peds Hemonc,Phase 4,No,No,Yes,Yes,Yes,No,2014-10-17 07:00:00,2018-10-19 07:00:00,Full Board,2016-11-04 20:45:00,,No,2014-09-30 22:37:04,Yes,Yes
DR00000405,IRB00011011,CRS00001161,Contract,Castle Biosciences INTEGRATE CTA OHSU_Leachman,Castle Biosciences Inc,No,No,Contract,,Jennifer Mair, ,,OGA Setup Complete,2015-08-27 03:00:06,2015-08-24 07:00:00,2015-07-31 12:47:42,2014-11-11 16:59:00,2014-08-22 21:34:34,2015-08-25 12:09:44,0,,,,No,Observational,SM.Dermatology Admin,N/A,No,No,No,No,No,No,2014-11-20 08:00:00,2016-10-25 07:00:00,Expedited,2016-02-17 18:41:27,2016-02-17 08:00:00,Yes,2014-08-22 11:03:12,,Yes
DR00000437,,,Confidentiality Agreement,BMS 562247 CDA OHSU_Calverley,Bristol-Myers Squibb,No,No,Contract,,Kristen Baptiste,David Calverley,,CDA Fully Executed,2014-09-30 12:14:26,2014-09-30 20:14:25,2014-09-24 09:21:01,2014-09-11 17:05:00,2014-09-10 22:03:59,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000395,IRB00011021,CRS00001144,Contract,Genentech MPDL3280A IPASA OHSU_Davis,Genentech Inc,No,No,Contract,,Jacqueline Brown, ,,Contract Executed,2014-08-26 09:44:51,2014-08-26 07:00:00,2014-08-26 09:33:57,2014-08-19 01:39:00,2014-08-18 23:10:29,,0,100097002,,,No,Expanded Access,,N/A,Yes,No,Yes,Yes,No,No,2014-08-22 07:00:00,2016-04-20 17:01:00,Full Board,2016-04-20 17:01:00,,Yes,2014-08-18 14:50:07,No,Yes
DR00000476,,,Confidentiality Agreement,Amgen 20101128 (229382) CDA OHSU_Deodhar,Amgen Inc,No,No,Contract,,Jennifer Mair,Atulya Deodhar,,CDA Fully Executed,2014-10-21 14:49:48,2014-10-17 07:00:00,2014-10-17 13:56:19,2014-10-13 22:38:00,2014-10-09 22:12:43,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000400,IRB00010999,CRS00001141,Contract,Novartis LEE011X2106-5005 CTRF OHSU_Chui,Novartis Pharmaceuticals Corporation,Yes,No,Contract,,Jacqueline Brown, ,,Withdrawn,2015-08-21 10:45:07,,2014-09-11 00:00:00,2014-09-11 18:09:00,2014-08-20 22:13:28,,0,,,,No,Interventional,SM.Knight Clinical Trials,Phase 1/Phase 2,Yes,No,Yes,Yes,No,No,2014-09-12 07:00:00,2015-09-11 07:00:00,Full Board,2015-08-20 22:55:04,2015-08-20 07:00:00,Yes,2014-08-20 15:00:34,,Yes
DR00000408,,,Confidentiality Agreement,AbbVie ABT-888 CDA OHSU_Chui,AbbVie Inc,No,No,Contract,,Jacqueline Brown,Stephen Chui,,CDA Fully Executed,2014-10-13 14:52:50,2014-10-13 22:52:49,2014-09-30 15:01:17,2014-08-29 20:51:00,2014-08-29 18:13:42,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000422,,,Confidentiality Agreement,Otsuka INC_1005069_Alzheimer's_CDA OHSU_Erten-Lyons,Otsuka Pharmaceutical Development & Commercialization,No,No,Contract,,Jacqueline Brown,Deniz Erten-Lyons,,CDA Fully Executed,2014-10-21 12:26:15,2014-10-21 20:26:14,2014-10-17 16:57:24,2014-09-05 18:12:00,2014-09-05 17:59:21,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000436,IRB00010866,CRS00000819,Contract,Celgene ABI-007-NSCL-005 CSA OHSU_Anderson,Celgene Corporation,Yes,No,Contract,,Jacqueline Brown, ,,OGA Setup Complete,2015-01-15 04:00:03,2015-01-07 08:00:00,2014-10-14 00:00:00,,2014-09-10 21:35:54,2015-01-13 10:12:47,0,700010866,,,No,Interventional,SM.Knight Comm Onc Clin Trials,Phase 4,Yes,No,Yes,Yes,No,No,2014-10-28 07:00:00,2017-12-28 20:47:00,Full Board,2017-12-28 20:47:00,,Yes,2014-09-11 15:01:26,Yes,Yes
DR00000182,IRB00010067,CRS00000055,Amendment,Vertex VX12-809-105 Am 1 to PS OHSU_Powers,Vertex Pharmaceuticals Inc,No,No,Contract,,Jacqueline Brown, ,,Amendment Fully Executed,2014-05-30 10:56:50,2014-05-30 18:56:47,2014-05-20 09:34:08,2014-05-20 16:28:00,2014-03-04 21:05:51,,0,100097307,,,No,Interventional,SM.Pediatric Pulmonary,Phase 3,Yes,No,Yes,Yes,No,No,2013-11-08 08:00:00,2016-07-26 16:50:00,Full Board,2016-07-26 16:50:00,,No,2013-10-22 09:47:02,No,Yes
DR00000197,,,Amendment,BMS Am 5 to MCTA_OHSU FE 10MAR2014,Bristol-Myers Squibb,No,No,Contract,,Jacqueline Brown, ,,Amendment Fully Executed,2014-03-14 10:54:16,2014-03-14 18:54:15,2014-03-10 00:00:00,2014-03-11 18:40:00,2014-03-11 18:40:47,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000278,,,Confidentiality Agreement,MHI MHICC2050 CDA OHSU_Heitner,Montreal Heart Institute,No,No,Contract,,Kristen Baptiste,Stephen Heitner,,CDA Fully Executed,2014-06-16 08:19:46,2014-06-16 16:19:45,2014-05-27 11:09:27,2014-05-09 21:53:00,2014-05-06 21:29:43,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000549,IRB00011311,CRS00001429,Contract,Acerta ACY-LY-001 CSA OHSU_Spurgeon,Acerta Pharma LLC,No,No,Contract,,Jacqueline Brown, ,,OGA Setup Complete,2015-02-03 04:00:03,2015-02-02 19:55:25,2015-01-30 01:00:00,2014-12-23 23:24:00,2014-12-01 19:18:51,2015-02-02 11:55:27,0,100096818,,,No,Interventional,SM.Knight CHM Clin Trials,Phase 1/Phase 2,Yes,No,Yes,Yes,No,No,2015-01-09 08:00:00,2018-11-30 08:00:00,Full Board,2017-11-11 12:40:00,,Yes,2014-11-24 17:34:04,Yes,Yes
DR00000583,,,Confidentiality Agreement,Kite Pharma CAR T-cell ALL NDA OHSU_Stork,Kite Pharma,No,No,Contract,,Jacqueline Brown,Linda Stork,,CDA Fully Executed,2015-01-07 15:55:05,2015-01-07 23:55:04,2015-01-05 01:00:00,2014-12-24 08:00:00,2015-01-06 21:32:38,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000612,IRB00011342,CRS00001440,Contract,Insys INS011-14-030 CTA OHSU_Roberts,Insys Therapeutics Inc,No,No,Contract,,Kristen Baptiste, ,,OGA Setup Complete,2015-02-04 04:00:08,2015-02-02 08:00:00,2015-01-29 10:31:56,2015-01-29 17:31:00,2015-01-29 17:28:44,2015-02-03 13:01:18,0,100096816,,,No,Interventional,SM.Pediatric Neurology,Phase 3,Yes,No,Yes,Yes,No,No,2014-12-18 08:00:00,2017-10-18 20:55:00,Full Board,2017-10-18 20:55:00,,No,2014-12-02 18:27:50,Yes,Yes
DR00000559,IRB00010067,CRS00000055,Amendment, Vertex VX12-809-105 Am 2 to Project Statement OHSU_Powers,Vertex Pharmaceuticals Inc,No,No,Contract,,Kristen Baptiste, ,,Amendment Fully Executed,2015-02-12 11:38:31,2015-02-12 19:38:28,2015-02-04 10:51:06,2015-02-04 17:51:00,2014-12-05 21:23:17,,0,100097307,,,No,Interventional,SM.Pediatric Pulmonary,Phase 3,Yes,No,Yes,Yes,No,No,2013-11-08 08:00:00,2016-07-26 16:50:00,Full Board,2016-07-26 16:50:00,,No,2013-10-22 09:47:02,No,Yes
DR00000627,,,Confidentiality Agreement,Chiltern NSR-CHM-OS1 CDA OHSU_Pennesi,Chiltern International Inc,No,No,Contract,,Jennifer Mair,Mark Pennesi,,CDA Fully Executed,2015-03-02 16:29:15,2015-03-03 00:29:14,2015-02-12 09:42:22,2015-02-10 19:13:00,2015-02-09 21:41:53,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000594,,,Confidentiality Agreement,CeloNova Drug-eluting beads IDE CDA OHSU_Vaccaro,CeloNova Biosciences Inc,No,No,Contract,,Jacqueline Brown,Gina Vaccaro,,CDA Fully Executed,2015-01-16 10:35:12,2015-01-16 18:35:12,2015-01-16 10:48:05,2015-01-13 08:00:00,2015-01-13 22:25:49,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000650,IRB00010409,CRS00000236,Amendment, Allergan 190342-038 Amd 2 to CTA OHSU_Lauer,Allergan,No,No,Contract,,Jennifer Mair, ,,Amendment Fully Executed,2015-05-11 09:51:49,2015-05-11 17:51:45,2015-04-28 12:23:38,2015-03-10 22:52:00,2015-02-19 21:36:36,,0,100096907,,,No,Interventional,SM.Ophth Retina,Phase 2,Yes,No,Yes,Yes,No,No,2014-08-08 07:00:00,2018-05-11 07:00:00,Full Board,2017-11-11 12:04:00,,No,2014-04-16 17:51:34,Yes,Yes
