"Project ID","Project PI: Full Name","OCTRI Project Status Change Date","Project Long Title","OCTRI Project Status","CTRC Status","Project Funding ID","Funding Award: Funding Award ID","Funding Award: Funding Source Name","Funding Award: Activity Type","Funding Award: Funding Type","Funding Award: Funding Status","Funding Award: Record Type","Funding Award: Reason OGA Not Set Up","Funding Award: Award Owning Org","Funding Award: OGA Award Number","Funding Award: Originating Sponsor","Funding Award: Originating Sponsor Type"
"PRJ-5595","Judy Barkal","5/15/2017","Knight Cancer Institute Translational Research Hub","Complete","N/A No CTRC Services","ProjFund-5717","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-5568","Judy Barkal","5/13/2016","TRH Prep to research","Complete","N/A No CTRC Services","ProjFund-5694","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-4612","Hans Dreyer","3/19/2014","Mechanistic approach to preventing atrophy and restoring function in older adults","Complete","N/A No CTRC Services","ProjFund-4384","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-5573","Peter Graven","5/16/2016","In-Hospital and Out-of-Hospital Mortality Rate Comparisons","Approved Post-IRB","N/A No CTRC Services","ProjFund-5699","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-4508","Peter Graven","7/8/2014","Evaluating Impacts of Central Oregon CCO's Complex Care Clinic, Bridges Health (Complex Care Coordination)","Approved Non-IRB","N/A No CTRC Services","ProjFund-4710","FA-04927","DHHS NIH Natl Ctr for Advancing Translational Sciences","UL1","Federal DHHS LOC","Awarded","OGA Award","","CT.OCTRI-OR Clin Trans Res Ins","ACTRI0801","",""
"PRJ-6190","Kamran Sajadi","9/22/2017","Evaluating Perceptions of the Patient Safety Culture in an Ambulatory Urology Practice","Approved Non-IRB","N/A No CTRC Services","ProjFund-6334","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-5660","Benjamin Hoffman","6/29/2016","Angle Tolerance Tests for Premature Infants: Outcomes and Predictors","Approved Post-IRB","N/A No CTRC Services","ProjFund-5768","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-6236","Benjamin Hoffman","10/18/2017","Parental Preferences Regarding Safe Gun Storage","Approved Pre-IRB","N/A No CTRC Services","ProjFund-6386","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-4510","Benjamin Hoffman","5/23/2017","Safe Ride from the First Ride: Car Safety Seat Usage at MBU Discharge","Complete","N/A No CTRC Services","ProjFund-4250","FA-02232","Friends of Doernbecher","","Foundation","Awarded","OGA Award","","SM.Pediatric GenPeds","APEDI0789","",""
"PRJ-6181","Benjamin Hoffman","9/14/2017","Sleep Safely: Use of Portable Play Yards to Promote Safe Infant Sleep for Vulnerable Families","Approved Pre-IRB","N/A No CTRC Services","ProjFund-6324","FA-11649","Kohl's Department Store","","Other","Pre-Award","Non-OGA Award","","","","",""
"PRJ-4469","Miranda Lim","5/5/2015","Sleep-Wake Disturbances In Traumatic Brain Injury","Approved Pre-IRB","N/A No CTRC Services","ProjFund-4194","FA-07402","Veterans Administration","Career Development Award","Federal","Awarded","Non-OGA Award","External - tracking financial","","","",""
"PRJ-5119","Miranda Lim","5/24/2017","Factors that affect response to treatment for OSA","Complete","N/A No CTRC Services","ProjFund-5014","FA-08843","U.S. Dept of Veterans Affairs","Not Applicable","Federal","Could Not Determine","Non-OGA Award","","","","",""
"PRJ-6003","Miranda Lim","7/31/2017","Morning bright light to improve sleep quality in Veterans","Approved Post-IRB","N/A No CTRC Services","ProjFund-6136","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-6121","Maureen DeLongis","10/9/2017","Shared Experience:  Impact of Sibshops","Approved Post-IRB","N/A No CTRC Services","ProjFund-6261","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-6125","Whitney Black","7/25/2017","Identification of Best Practices in Training Psychiatrists in Measurement-Based Care","Proposal Development","N/A No CTRC Services","ProjFund-6263","FA-08346","School of Medicine Dean's Office","Not Applicable","Academic Institution/Univ","Awarded","Non-OGA Award","General Ledger Account","","","",""
"PRJ-5246","Glenn Woodworth","2/4/2016","Effective Simulation Training for Anesthesiology Residents","Withdrawn","N/A No CTRC Services","ProjFund-5188","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-6154","Meredith Kato","8/17/2017","Video Entertainment Alternative Pediatric MRI Reduces the Need for Anesthesia and Sedation","Approved Pre-IRB","N/A No CTRC Services","ProjFund-6296","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-5528","Alan Teo","1/11/2017","Using Social Media to Engage At-Risk Veterans in Mental Health Treatment","Approved Post-IRB","N/A No CTRC Services","ProjFund-6002","FA-10761","OHSU Fnd","","Foundation","Awarded","OGA Award","","SM.Psyc Research","APSYC0233","Collins Medical Trust","Foundation"
"PRJ-5528","Alan Teo","1/11/2017","Using Social Media to Engage At-Risk Veterans in Mental Health Treatment","Approved Post-IRB","N/A No CTRC Services","ProjFund-6001","FA-10763","Medical Research Foundation of Oregon","","Foundation","Awarded","OGA Award","","SM.Psyc Research","APSYC0234","",""
"PRJ-5018","Alan Teo","11/4/2014","Optimizing Veterans' social relationship to enhance depression care","Proposal Development","N/A No CTRC Services","ProjFund-4845","FA-08511","U.S. Dept of Veterans Affairs","Career Development Award","Federal","Awarded","Non-OGA Award","External - not tracking financial","","","",""
"PRJ-5930","Alan Teo","1/26/2017","BEHAVE Trial: Behavioral Economics Has Applications to Visit Enhancements","Proposal Development","N/A No CTRC Services","ProjFund-6058","FA-08346","School of Medicine Dean's Office","Not Applicable","Academic Institution/Univ","Awarded","Non-OGA Award","General Ledger Account","","","",""
"PRJ-5546","Deanna Britton","4/15/2016","Utility of cough-related airflow in identifying laryngeal impairment","Proposal Development","N/A No CTRC Services","ProjFund-5713","FA-10213","DHHS NIH Natl Heart, Lung, and Blood Inst","R21","Federal NIH","Not Awarded","Non-OGA Award","","","","",""
"PRJ-5022","Lynne Morrison","10/6/2015","A Randomized, Double-Blind, Double-Dummy, Active-Comparator, Multicenter Study to Evaluate the Efficacy and Safety of Rituximab Versus MMF in Patients With Pemphigus Vulgaris","Approved Post-IRB","Active","ProjFund-5192","FA-09026","Genentech Inc","Not Applicable","Industry","Awarded","OGA Award","","SM.Dermatology Admin","ADERM0220","",""
"PRJ-4514","Lynne Morrison","5/23/2017","Methotrexate and Hydroxychloroquine in the treatment of Oral Lichen Planus: A Retrospective Chart Review.","Complete","N/A No CTRC Services","ProjFund-4248","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-5019","Amy Holley","11/6/2014","Measuring the Impact of Pediatric Pain on Families","Approved Post-IRB","N/A No CTRC Services","ProjFund-4852","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-5060","Amy Holley","1/23/2017","Characterizing Brain Structure and Function in Pediatric Chronic Pain","Approved Post-IRB","N/A No CTRC Services","ProjFund-5134","FA-09088","Medical Research Foundation of Oregon","Not Applicable","Foundation","Awarded","OGA Award","","CD.Grants","ACDRC0270","",""
"PRJ-5950","Amy Holley","2/8/2017","Light Sensitivity in Pediatric Pain","Approved Post-IRB","N/A No CTRC Services","ProjFund-6081","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-4573","Amy Holley","2/5/2014","Chronic Pain in Pediatric Primary Care","Approved Pre-IRB","N/A No CTRC Services","ProjFund-4644","FA-06523","DHHS NIH Natl Inst of Child Hlth & Human Dvlp","K23","Federal DHHS Individual Draw","Awarded","OGA Award","","CD.Grants","ACDRC0257","",""
"PRJ-4573","Amy Holley","2/5/2014","Chronic Pain in Pediatric Primary Care","Approved Pre-IRB","N/A No CTRC Services","ProjFund-4320","FA-06915","DHHS NIH Natl Inst of Child Hlth & Human Dvlp","K23","Federal","Awarded - Linked to OGA Award","Non-OGA Award","Pending OGA Setup","","","",""
"PRJ-4085","Richard Parker","5/10/2013","A Randomized Controlled Trial of Aliskiren in the Prevention of Major Cardiovascular Events in Elderly People. Aliskiren Prevention of Later Life Outcomes (APOLLO)","Complete","Terminated","ProjFund-3583","FA-00871","Novartis Pharmaceuticals Corporation","","Industry","Awarded","OGA Award","","SM.NEP Administration","ANEPH0140","",""
"PRJ-5566","Kristina Haley","5/16/2016","Investigating the Impact of Positive Thrombophilia Screening on Treatment and Management of Provoked VTEs","Approved Post-IRB","N/A No CTRC Services","ProjFund-5692","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-5782","Kristina Haley","9/7/2016","Validation of the HAPI: small-volume, whole blood platelet function assays","Approved Post-IRB","N/A No CTRC Services","ProjFund-5962","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-5379","Kristina Haley","1/26/2016","The HAPI Project - FOD Female Adolescent","Approved Post-IRB","N/A No CTRC Services","ProjFund-5387","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-4968","Kristina Haley","9/17/2014","Retrospective review of off-label thrombopoietin receptor agonist (TPO-RA) use in pediatric patients: Data from the Pediatric ITP Consortium of North America","Complete","N/A No CTRC Services","ProjFund-4591","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-6067","Amanda Kim","8/7/2017","Congenital heart disease and the yield of genetic testing in the prenatal and/or neonatal period","Approved Post-IRB","N/A No CTRC Services","ProjFund-6200","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-3357","Andrew McCollough","11/13/2012","Cognitive and Electrophysiological Correlates of Long-Term Meditators","Complete","N/A No CTRC Services","ProjFund-3443","FA-06837","DHHS NIH Natl Ctr for Complementary & Al","K01","Federal","Not Awarded","Non-OGA Award","","","","",""
"PRJ-4293","Angela Senders","10/7/2016","Stress in Multiple Sclerosis Focus Groups","Complete","N/A No CTRC Services","ProjFund-3984","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-4078","Angela Senders","8/1/2016","Mindfulness-Based Stress Reduction for Multiple Sclerosis: Feasibility, Durability, and Clinical Outcomes","Approved Post-IRB","N/A No CTRC Services","ProjFund-4904","FA-04790","Medical Research Foundation of Oregon","K23","Foundation","Awarded","OGA Award","","SM.Neu ORCCAMIND/EEG","ANEUR0691","",""
"PRJ-4078","Angela Senders","8/1/2016","Mindfulness-Based Stress Reduction for Multiple Sclerosis: Feasibility, Durability, and Clinical Outcomes","Approved Post-IRB","N/A No CTRC Services","ProjFund-3565","FA-06825","DHHS NIH Natl Ctr for Complementary & Al","K23","Federal","Awarded - Linked to OGA Award","Non-OGA Award","N/A","","","",""
"PRJ-5787","Donald Sullivan","1/26/2017","Association between Physician Orders for Life-sustaining Treatment (POLST), patient outcomes and healthcare resource utilization among acute care patients.","Approved Post-IRB","N/A No CTRC Services","ProjFund-5864","FA-07084","RSNA Research & Education Foundation","Need to Determine","Foundation","Not Awarded","Non-OGA Award","","","","",""
"PRJ-5359","Donald Sullivan","10/13/2015","IMPACT OF SPECIALIST PALLIATIVE CARE ON OUTCOMES IN ADVANCED STAGE LUNG CANCER","Excluded","N/A No CTRC Services","ProjFund-5356","FA-09499","National Institutes of Health - unknown institute","K07","Federal NIH","Awarded","Non-OGA Award","Pending OGA Setup","","","",""
"PRJ-4506","Donald Sullivan","10/20/2016","Impact of Specialist Palliative Care on Outcomes in Advanced Stage Lung Cancer Patients","Post Termination","N/A No CTRC Services","ProjFund-5013","FA-06613","DHHS NIH Natl Ctr for Advancing Translational Sciences","KL2","Federal DHHS LOC","Awarded","OGA Award","","CT.OCTRI-OR Clin Trans Res Ins","ACTRI0903","",""
"PRJ-4506","Donald Sullivan","10/20/2016","Impact of Specialist Palliative Care on Outcomes in Advanced Stage Lung Cancer Patients","Post Termination","N/A No CTRC Services","ProjFund-5012","FA-00169","DHHS NIH Natl Ctr for Advancing Translational Sciences","KL2","Federal DHHS LOC","Awarded","OGA Award","","CT.OCTRI-OR Clin Trans Res Ins","ACTRI0803","",""
"PRJ-4506","Donald Sullivan","10/20/2016","Impact of Specialist Palliative Care on Outcomes in Advanced Stage Lung Cancer Patients","Post Termination","N/A No CTRC Services","ProjFund-4241","FA-06814","DHHS NIH Natl Cancer Inst","K07","Federal","Not Awarded","Non-OGA Award","","","","",""
"PRJ-6283","Donald Sullivan","10/30/2017","[CRI Non Research]: American Thoracic Society Use Survey","Excluded","N/A No CTRC Services","ProjFund-6406","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-4473","Vassiliki Tsikitis","10/24/2013","Gallbladder cancer in SEER","Complete","N/A No CTRC Services","ProjFund-4198","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-4387","Vassiliki Tsikitis","6/26/2013","Medical Management of Inflammatory Bowel Disease","Complete","N/A No CTRC Services","ProjFund-4076","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-5561","Vassiliki Tsikitis","","Gender Academic Differences","Approved Non-IRB","N/A No CTRC Services","ProjFund-5683","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-5828","Vassiliki Tsikitis","11/22/2016","Genetic Features of Primary Colorectal Cancers Predict their Metastatic Potential","Approved Post-IRB","N/A No CTRC Services","ProjFund-5905","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-5052","Vassiliki Tsikitis","1/5/2015","Gender differences in colorectal surgery","Approved Pre-IRB","N/A No CTRC Services","ProjFund-4919","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-5053","Vassiliki Tsikitis","8/4/2015","PVAMC/OHSU: The role of HIV in patients with anal cancer- A retrospective review","Complete","N/A No CTRC Services","ProjFund-4920","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-999","Vassiliki Tsikitis","5/2/2014","Oregon Colorectal Cancer Registry","Approved Post-IRB","Active","ProjFund-4500","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-2765","Lara Davis","6/30/2012","","Complete","N/A No CTRC Services","ProjFund-3106","FA-06818","DHHS NIH Natl Cancer Inst","K08","Federal","Not Submitted","Non-OGA Award","","","","",""
"PRJ-6278","Lara Davis","10/24/2017","A phase 1B trial of preoperative eribulin and radiation for retroperitoneal liposarcoma","Approved Pre-IRB","N/A No CTRC Services","ProjFund-6401","FA-11782","Eisai Inc","","Industry","Awarded","Non-OGA Award","Pending OGA Setup","","","",""
"PRJ-5741","Lara Davis","8/17/2016","SARC Sarcoma SPORE: Career Development Program","Proposal Development","N/A No CTRC Services","ProjFund-5825","FA-10360","SARC","","Foundation","Awarded","OGA Award","","SM.Knight Hem/Onc Admin","ACNCR0741","",""
"PRJ-5997","Lara Davis","9/25/2017","A Phase 1B Study of Ribociclib in Combination with Doxorubicin in Advanced Soft Tissue Sarcomas","Approved Post-IRB","N/A No CTRC Services","ProjFund-6130","FA-11069","Novartis Pharmaceuticals Corporation","","Industry","Awarded","OGA Award","","SM.Knight Sarcoma Trial Coordination","ACNCR0812","",""
"PRJ-5818","Lara Davis","10/17/2016","A Prospective, Multicenter Evaluation of Physical Function in Survivors of Sarcomas","Proposal Development","N/A No CTRC Services","ProjFund-5891","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-3783","Julie Khoury","6/23/2014","A Phase IIb, Multi-National, Double-Blind, Randomized, Placebo-Controlled Study to Evaluate the Safety, Tolerability and Efficacy of CK-2017357 in 
Patients with Amyotrophic Lateral Sclerosis (ALS)","Complete","Terminated","ProjFund-3507","FA-03065","Cytokinetics Inc","","Industry","Awarded","OGA Award","","SM.Neu Neuromuscle","ANEUR0733","",""
"PRJ-4479","Julie Khoury","2/19/2016","APOLLO: A Phase 3 Multicenter, Multinational, Randomized, Double-blind, Placebo-controlled Study to Evaluate the Efficacy and Safety of ALN-TTR02 in Transthyretin (TTR)-Mediated Polyneuropathy (Familial Amyloidotic Polyneuropathy-FAP)","Complete","Terminated","ProjFund-4214","FA-06694","Alnylam Pharmaceuticals Inc","Not Applicable","Industry","Awarded - Linked to OGA Award","Non-OGA Award","N/A","","","",""
"PRJ-4479","Julie Khoury","2/19/2016","APOLLO: A Phase 3 Multicenter, Multinational, Randomized, Double-blind, Placebo-controlled Study to Evaluate the Efficacy and Safety of ALN-TTR02 in Transthyretin (TTR)-Mediated Polyneuropathy (Familial Amyloidotic Polyneuropathy-FAP)","Complete","Terminated","ProjFund-4703","FA-06396","Alnylam Pharmaceuticals Inc","","Industry","Awarded","OGA Award","","SM.Neu Neuromuscle","ANEUR0797","",""
"PRJ-4437","Julie Khoury","8/23/2013","Phase 2 Study of Rasagiline for Treatment of Amyotrophic Lateral Sclerosis","Withdrawn","","ProjFund-4149","FA-04940","Univ. of Kansas","","Federal DHHS NON LOC","Awarded","OGA Award","","SM.Neu Neuromuscle","ANEUR0779","DHHS Food and Drug Administration","Federal"
"PRJ-2207","Tessa Marburger","11/14/2014","Inpatient Double-Blind Placebo-Controlled Withdrawal Study of 3,4-Diaminopyridine Base (3,4-DAP) in Subjects with Known Lambert-Eaton Myasthenic Syndrome","Complete","Terminated","ProjFund-2927","FA-00145","Jacobus Pharmaceutical Company Inc","","Industry","Awarded","OGA Award","","SM.NEU EMG","ANEUR0669","",""
"PRJ-4567","Erin Bonura","5/23/2017","Team-Based Learning in an Internal Medicine Residency Curriculum: A feasibility and acceptibility study","Complete","N/A No CTRC Services","ProjFund-4313","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-4590","Erin Bonura","5/23/2017","Factors Associated with Internal Medicine Resident Career Choice in Infectious Diseases","Complete","N/A No CTRC Services","ProjFund-4341","FA-06364","Infectious Diseases Society of America","","Foundation","Awarded","OGA Award","","SM.GNM Administration","AINTR0074","",""
"PRJ-5535","Adrienne Zell","4/5/2016","Working Title: Central Oregon Health Council Application Assistance","Approved Non-IRB","N/A No CTRC Services","ProjFund-5625","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-5991","Adrienne Zell","3/21/2017","Empowerment Evaluation as a Capacity-Building Approach for Youth Move Oregon and OSSCC","Approved Pre-IRB","N/A No CTRC Services","ProjFund-6125","FA-11112","Meyer Memorial Trust","","Foundation","Pre-Award","Non-OGA Award","","","","",""
"PRJ-10354","Adrienne Zell","5/17/2016","OCTRI Evaluation Tracking and Improvement: An Assessment of a Strategic Planning and Evaluation Process","Approved Post-IRB","N/A No CTRC Services","ProjFund-1055","FA-01605","DHHS NIH Natl Ctr for Rsch Resources","UL1","Federal DHHS LOC","Awarded","OGA Award","","CT.OCTRI-OR Clin Trans Res Ins","ACTRI0301","",""
"PRJ-10354","Adrienne Zell","5/17/2016","OCTRI Evaluation Tracking and Improvement: An Assessment of a Strategic Planning and Evaluation Process","Approved Post-IRB","N/A No CTRC Services","ProjFund-4744","FA-00836","DHHS NIH Natl Ctr for Rsch Resources","UL1","Federal DHHS LOC","Awarded","OGA Award","","CT.OCTRI-OR Clin Trans Res Ins","ACTRI0201","",""
"PRJ-4522","Gail Wolf","1/13/2017","Promoting Literacy, Promoting Health: Early Childhood & Family Literacy Project","Post Termination","N/A No CTRC Services","ProjFund-4363","FA-04927","DHHS NIH Natl Ctr for Advancing Translational Sciences","UL1","Federal DHHS LOC","Awarded","OGA Award","","CT.OCTRI-OR Clin Trans Res Ins","ACTRI0801","",""
"PRJ-4622","Andrea Orfanakis","2/27/2015","Video Teaching Improves Early Trainee Presentations in the Neurosciences ICU","Complete","N/A No CTRC Services","ProjFund-4382","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-5374","Brian Shaffer","10/20/2015","Fetal Therapy database","Approved Pre-IRB","N/A No CTRC Services","ProjFund-5376","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-4587","Brian Shaffer","5/23/2017","Complex congenital heart disease of newborns in associated with both abnormalities in neuroanatomic development and delay in fetal brain maturation","Complete","N/A No CTRC Services","ProjFund-4338","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-5152","Leo Han","5/24/2017","Regulation of Cervical Mucus Secretion","Complete","Pending","ProjFund-5258","FA-08949","Society of Family Planning (SFP)","Not Applicable","Foundation","Awarded","OGA Award","","SM.OB/GYN Clinical Research","AOBGY0291","",""
"PRJ-5152","Leo Han","5/24/2017","Regulation of Cervical Mucus Secretion","Complete","Pending","ProjFund-5065","FA-08940","Society of Family Planning (SFP)","Not Applicable","Foundation","Awarded - Linked to OGA Award","Non-OGA Award","N/A","","","",""
"PRJ-4565","Liz Stevenson","1/28/2014","Consult service from our Child & Adolescent Psychiatrists to all Pediatricians within the State of Oregon","Approved Non-IRB","","ProjFund-4307","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-5072","Cailin Sibley","1/22/2015","Gene Expression Profiling in Granulomatosis with Polyangiitis and Related Conditions","Approved Post-IRB","N/A No CTRC Services","ProjFund-5322","FA-09416","DHHS NIH Natl Inst of Arth & Mus & Skin Diseases","K23","Federal DHHS Individual Draw","Awarded","OGA Award","","SM.ARD Administration","AARTH0095","",""
"PRJ-5072","Cailin Sibley","1/22/2015","Gene Expression Profiling in Granulomatosis with Polyangiitis and Related Conditions","Approved Post-IRB","N/A No CTRC Services","ProjFund-4952","FA-08734","DHHS NIH Natl Inst of Arth & Mus & Skin Diseases","K23","Federal NIH","Awarded - Linked to OGA Award","Non-OGA Award","N/A","","","",""
"PRJ-5144","Cailin Sibley","6/21/2017","Natural History of Vasculitis and Related Conditions","Withdrawn","N/A No CTRC Services","ProjFund-5545","FA-09416","DHHS NIH Natl Inst of Arth & Mus & Skin Diseases","K23","Federal DHHS Individual Draw","Awarded","OGA Award","","SM.ARD Administration","AARTH0095","",""
"PRJ-4787","Belinda McCully","7/30/2014","Obesity and DVT risk after traumatic injury","Proposal Development","N/A No CTRC Services","ProjFund-4582","FA-08321","DHHS NIH Natl Heart, Lung, and Blood Inst","K01","Federal NIH","Not Awarded","Non-OGA Award","","","","",""
"PRJ-6031","Jenny Wilson","4/18/2017","Practice and preparedness for endovascular therapy in acute pediatric stroke","Approved Post-IRB","N/A No CTRC Services","ProjFund-6165","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-5552","Jenny Wilson","4/22/2016","Use of quick brain MRI in diagnosis of acute pediatric stroke","Approved Post-IRB","N/A No CTRC Services","ProjFund-5660","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-5722","Jenny Wilson","1/12/2017","Muscle echo intensity as predictor of Botox response","Approved Post-IRB","N/A No CTRC Services","ProjFund-5788","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-4554","Ralph Baric","1/23/2014","SYSTEMS PATHOGENOMICS OF SEVERE ACUTE RESPIRATORY VIRUS INFECTION","Approved Non-IRB","N/A No CTRC Services","ProjFund-4293","FA-06908","DHHS NIH Natl Inst of Allergy & Infectious Disease","U54","Federal","Awarded - Linked to OGA Award","Non-OGA Award","N/A","","","",""
